idx,statement,conjunctA,conjunctB,labelA,labelB,compound_label,n_parts
0,It is the case both that the city of Al Ain City is in the United Arab Emirates and that the city of Jilin is in China.,Al Ain City / the United Arab Emirates,Jilin / China,1,1,1,2
1,It is the case both that the city of Lipetsk is in Russia and that the city of Thuan An is in Vietnam.,Lipetsk / Russia,Thuan An / Vietnam,1,1,1,2
2,It is the case both that the city of Mandalay is in Myanmar and that the city of Yibin is in China.,Mandalay / Myanmar,Yibin / China,1,1,1,2
3,It is the case both that the city of Cangzhou is in China and that the city of Shangyu is in China.,Cangzhou / China,Shangyu / China,1,1,1,2
4,It is the case both that the city of Nanded is in India and that the city of Shaoguan is in China.,Nanded / India,Shaoguan / China,1,1,1,2
5,It is the case both that the city of Tianjin is in China and that the city of Dombivli is in India.,Tianjin / China,Dombivli / India,1,1,1,2
6,It is the case both that the city of Tokyo is in Japan and that the city of Xianning is in China.,Tokyo / Japan,Xianning / China,1,1,1,2
7,It is the case both that the city of Wuhan is in China and that the city of Brazzaville is in the Republic of the Congo.,Wuhan / China,Brazzaville / the Republic of the Congo,1,1,1,2
8,It is the case both that the city of Saint Petersburg is in Russia and that the city of Thane is in India.,Saint Petersburg / Russia,Thane / India,1,1,1,2
9,It is the case both that the city of Denpasar is in Indonesia and that the city of Agadir is in Morocco.,Denpasar / Indonesia,Agadir / Morocco,1,1,1,2
10,It is the case both that the city of Aktobe is in Kazakhstan and that the city of Deyang is in China.,Aktobe / Kazakhstan,Deyang / China,1,1,1,2
11,It is the case both that the city of Mukalla is in Yemen and that the city of Quzhou is in China.,Mukalla / Yemen,Quzhou / China,1,1,1,2
12,It is the case both that the city of Nanded is in India and that the city of Erbil is in Iraq.,Nanded / India,Erbil / Iraq,1,1,1,2
13,It is the case both that the city of New South Memphis is in the United States and that the city of Nasiriyah is in Iraq.,New South Memphis / the United States,Nasiriyah / Iraq,1,1,1,2
14,It is the case both that the city of Pune is in India and that the city of Rui'an is in China.,Pune / India,Rui'an / China,1,1,1,2
15,It is the case both that the city of Lanzhou is in China and that the city of Istanbul is in Turkey.,Lanzhou / China,Istanbul / Turkey,1,1,1,2
16,It is the case both that the city of Handan is in China and that the city of Kermanshah is in Iran.,Handan / China,Kermanshah / Iran,1,1,1,2
17,It is the case both that the city of Mandalay is in Myanmar and that the city of Soweto is in South Africa.,Mandalay / Myanmar,Soweto / South Africa,1,1,1,2
18,It is the case both that the city of Namangan is in Uzbekistan and that the city of Weinan is in China.,Namangan / Uzbekistan,Weinan / China,1,1,1,2
19,It is the case both that the city of Leipzig is in Germany and that the city of Khartoum is in Sudan.,Leipzig / Germany,Khartoum / Sudan,1,1,1,2
20,It is the case both that the city of Buraydah is in Saudi Arabia and that the city of Asyut is in Egypt.,Buraydah / Saudi Arabia,Asyut / Egypt,1,1,1,2
21,It is the case both that the city of Can Tho is in Vietnam and that the city of Zhenjiang is in China.,Can Tho / Vietnam,Zhenjiang / China,1,1,1,2
22,It is the case both that the city of Daejeon is in South Korea and that the city of E'zhou is in China.,Daejeon / South Korea,E'zhou / China,1,1,1,2
23,It is the case both that the city of Iztapalapa is in Mexico and that the city of Pyongyang is in North Korea.,Iztapalapa / Mexico,Pyongyang / North Korea,1,1,1,2
24,It is the case both that the city of Hanzhong is in China and that the city of Thane is in India.,Hanzhong / China,Thane / India,1,1,1,2
25,It is the case both that the city of Fortaleza is in Brazil and that the city of Bogor is in Indonesia.,Fortaleza / Brazil,Bogor / Indonesia,1,1,1,2
26,It is the case both that the city of Najafgarh is in India and that the city of Sevastopol is in Ukraine.,Najafgarh / India,Sevastopol / Ukraine,1,1,1,2
27,It is the case both that the city of Theni is in India and that the city of Zhoushan is in China.,Theni / India,Zhoushan / China,1,1,1,2
28,It is the case both that the city of Chattogram is in Bangladesh and that the city of Onitsha is in Nigeria.,Chattogram / Bangladesh,Onitsha / Nigeria,1,1,1,2
29,It is the case both that the city of Puente Alto is in Chile and that the city of Yaroslavl is in Russia.,Puente Alto / Chile,Yaroslavl / Russia,1,1,1,2
