statement,topic,n,condition,n_true,n_false,compound_label,conjuncts,labels
The city of Mandalay is in Myanmar and the city of Xingtai is in China and the city of Port Said is in Mauritania and the city of Fukuoka is in Japan and the city of Nanchong is in China and the city of Harbin is in China.,cities,6,dilute_1false,5,1,0,"[""The city of Mandalay is in Myanmar."", ""The city of Xingtai is in China."", ""The city of Port Said is in Mauritania."", ""The city of Fukuoka is in Japan."", ""The city of Nanchong is in China."", ""The city of Harbin is in China.""]","[1, 1, 0, 1, 1, 1]"
The Spanish word 'hablar' means 'to speak' and the Spanish word 'ciudad' means 'city' and the Spanish word 'olor' means 'smell'.,sp_en_trans,3,all_true,3,0,1,"[""The Spanish word 'hablar' means 'to speak'."", ""The Spanish word 'ciudad' means 'city'."", ""The Spanish word 'olor' means 'smell'.""]","[1, 1, 1]"
The city of Santiago de Queretaro is in Somalia and the city of Erzurum is in the Philippines.,cities,2,all_false,0,2,0,"[""The city of Santiago de Queretaro is in Somalia."", ""The city of Erzurum is in the Philippines.""]","[0, 0]"
The Spanish word 'ejemplo' means 'example' and the Spanish word 'noche' means 'night'.,sp_en_trans,2,all_true,2,0,1,"[""The Spanish word 'ejemplo' means 'example'."", ""The Spanish word 'noche' means 'night'.""]","[1, 1]"
John Atanasoff lived in the U.S and Clyde Tombaugh lived in the U.S and Sir Sandford Fleming lived in Canada and John Bardeen lived in the U.S.,inventors,4,all_true,4,0,1,"[""John Atanasoff lived in the U.S."", ""Clyde Tombaugh lived in the U.S."", ""Sir Sandford Fleming lived in Canada."", ""John Bardeen lived in the U.S.""]","[1, 1, 1, 1]"
Alfred Nobel lived in Canada/the U.S and Thomas Tompion lived in Russia.,inventors,2,all_false,0,2,0,"[""Alfred Nobel lived in Canada/the U.S."", ""Thomas Tompion lived in Russia.""]","[0, 0]"
The city of Eskisehir is in Senegal and the city of Cancun is in Mexico and the city of Vladivostok is in Russia and the city of Seongnam-si is in South Korea and the city of Prayagraj is in India and the city of Izhevsk is in Russia.,cities,6,dilute_1false,5,1,0,"[""The city of Eskisehir is in Senegal."", ""The city of Cancun is in Mexico."", ""The city of Vladivostok is in Russia."", ""The city of Seongnam-si is in South Korea."", ""The city of Prayagraj is in India."", ""The city of Izhevsk is in Russia.""]","[0, 1, 1, 1, 1, 1]"
The hummingbird is a bird and the cassowary is a bird.,animal_class,2,all_true,2,0,1,"[""The hummingbird is a bird."", ""The cassowary is a bird.""]","[1, 1]"
The kangaroo is a mammal and the axolotl is a amphibian and the narwhal is a mammal and the frog is a amphibian.,animal_class,4,all_true,4,0,1,"[""The kangaroo is a mammal."", ""The axolotl is a amphibian."", ""The narwhal is a mammal."", ""The frog is a amphibian.""]","[1, 1, 1, 1]"
The skunk is a mammal and the cow is a mammal and the tarantula is a arachnid.,animal_class,3,all_true,3,0,1,"[""The skunk is a mammal."", ""The cow is a mammal."", ""The tarantula is a arachnid.""]","[1, 1, 1]"
The Spanish word 'arena' means 'sand' and the Spanish word 'carne' means 'bear' and the Spanish word 'ciudad' means 'city'.,sp_en_trans,3,dilute_1false,2,1,0,"[""The Spanish word 'arena' means 'sand'."", ""The Spanish word 'carne' means 'bear'."", ""The Spanish word 'ciudad' means 'city'.""]","[1, 0, 1]"
The aardvark is a insect and the eagle is a bird and the gecko is a reptile and the hamster is a mammal.,animal_class,4,dilute_1false,3,1,0,"[""The aardvark is a insect."", ""The eagle is a bird."", ""The gecko is a reptile."", ""The hamster is a mammal.""]","[0, 1, 1, 1]"
The Spanish word 'cabeza' means 'head' and the Spanish word 'huevo' means 'egg' and the Spanish word 'piedra' means 'mouth'.,sp_en_trans,3,dilute_1false,2,1,0,"[""The Spanish word 'cabeza' means 'head'."", ""The Spanish word 'huevo' means 'egg'."", ""The Spanish word 'piedra' means 'mouth'.""]","[1, 1, 0]"
The Spanish word 'nada' means 'nothing' and the Spanish word 'demasiado' means 'too' and the Spanish word 'hola' means 'hello' and the Spanish word 'ballena' means 'whale'.,sp_en_trans,4,all_true,4,0,1,"[""The Spanish word 'nada' means 'nothing'."", ""The Spanish word 'demasiado' means 'too'."", ""The Spanish word 'hola' means 'hello'."", ""The Spanish word 'ballena' means 'whale'.""]","[1, 1, 1, 1]"
The Spanish word 'tres' means 'hope' and the Spanish word 'brazo' means 'arm' and the Spanish word 'sol' means 'sun' and the Spanish word 'norte' means 'north'.,sp_en_trans,4,dilute_1false,3,1,0,"[""The Spanish word 'tres' means 'hope'."", ""The Spanish word 'brazo' means 'arm'."", ""The Spanish word 'sol' means 'sun'."", ""The Spanish word 'norte' means 'north'.""]","[0, 1, 1, 1]"
