idx,statement,subject,disjunctA_obj,disjunctB_obj,labelA,labelB,compound_label,n_parts
0,It is the case either that the slug is a mollusk or that it is a amphibian.,slug,mollusk,amphibian,1,0,1,2
1,It is the case either that the gazelle is a mammal or that it is a mollusk.,gazelle,mammal,mollusk,1,0,0,2
2,It is the case either that the hummingbird is a mollusk or that it is a bird.,hummingbird,mollusk,bird,0,1,1,2
3,It is the case either that the platypus is a bird or that it is a mammal.,platypus,bird,mammal,0,1,0,2
4,It is the case either that the armadillo is a mammal or that it is a bird.,armadillo,mammal,bird,1,0,1,2
5,It is the case either that the manta ray is a mammal or that it is a fish.,manta ray,mammal,fish,0,0,0,2
6,It is the case either that the rabbit is a insect or that it is a mammal.,rabbit,insect,mammal,0,1,1,2
7,It is the case either that the narwhal is a bird or that it is a mammal.,narwhal,bird,mammal,0,1,1,2
8,It is the case either that the porcupine is a mammal or that it is a bird.,porcupine,mammal,bird,1,0,0,2
9,It is the case either that the horse is a bird or that it is a mollusk.,horse,bird,mollusk,0,0,0,2
10,It is the case either that the giant anteater is a bird or that it is a fish.,giant anteater,bird,fish,0,0,0,2
11,It is the case either that the jellyfish is a cnidarian or that it is a mammal.,jellyfish,cnidarian,mammal,1,0,1,2
12,It is the case either that the eagle is a mammal or that it is a reptile.,eagle,mammal,reptile,0,0,0,2
13,It is the case either that the armadillo is a mammal or that it is a bird.,armadillo,mammal,bird,1,0,1,2
14,It is the case either that the penguin is a fish or that it is a mammal.,penguin,fish,mammal,0,0,0,2
15,It is the case either that the bat is a mollusk or that it is a mammal.,bat,mollusk,mammal,0,1,1,2
16,It is the case either that the tapir is a fish or that it is a bird.,tapir,fish,bird,0,0,0,2
17,It is the case either that the crocodile is a reptile or that it is a bird.,crocodile,reptile,bird,1,0,1,2
18,It is the case either that the kangaroo is a crustacean or that it is a mammal.,kangaroo,crustacean,mammal,0,1,0,2
19,It is the case either that the cheetah is a insect or that it is a mammal.,cheetah,insect,mammal,0,1,0,2
20,It is the case either that the pigeon is a bird or that it is a fish.,pigeon,bird,fish,1,0,1,2
21,It is the case either that the peacock is a bird or that it is a fish.,peacock,bird,fish,1,0,1,2
22,It is the case either that the armadillo is a mammal or that it is a bird.,armadillo,mammal,bird,1,0,1,2
23,It is the case either that the bee is a insect or that it is a bird.,bee,insect,bird,1,0,0,2
24,It is the case either that the lobster is a mammal or that it is a bird.,lobster,mammal,bird,0,0,0,2
25,It is the case either that the horse is a amphibian or that it is a mollusk.,horse,amphibian,mollusk,0,0,0,2
26,It is the case either that the otter is a fish or that it is a reptile.,otter,fish,reptile,0,0,0,2
27,It is the case either that the deer is a mammal or that it is a fish.,deer,mammal,fish,1,0,1,2
28,It is the case either that the cow is a mammal or that it is a bird.,cow,mammal,bird,1,0,1,2
29,It is the case either that the porcupine is a amphibian or that it is a mammal.,porcupine,amphibian,mammal,0,1,1,2
30,It is the case either that the sparrow is a mammal or that it is a fish.,sparrow,mammal,fish,0,0,0,2
31,It is the case either that the platypus is a fish or that it is a mammal.,platypus,fish,mammal,0,1,1,2
