idx,statement,disjunctA,disjunctB,labelA,labelB,compound_label,n_parts
0,"It is the case either that Hibernation conserves energy during cold periods or that the pH scale measures the acidity or alkalinity of a substance, ranging from 0 (most acidic) to 14 (most alkaline), with 7 being neutral.",Hibernation conserves energy during cold periods,"the pH scale measures the acidity or alkalinity of a substance, ranging from 0 (most acidic) to 14 (most alkaline), with 7 being neutral",1,1,1,2
1,It is the case either that the conservation of energy principle states that energy cannot be created or destroyed or that the human liver helps filter toxins from the body.,the conservation of energy principle states that energy cannot be created or destroyed,the human liver helps filter toxins from the body,1,1,1,2
2,It is the case either that Earth is 71% water or that the Sun is a planet.,Earth is 71% water,the Sun is a planet,1,0,1,2
3,It is the case either that the Roman Empire existed from 27 BC to 476 AD or that the fastest mammal in the world is the turtle.,the Roman Empire existed from 27 BC to 476 AD,the fastest mammal in the world is the turtle,1,0,1,2
4,It is the case either that Atoms are the basic breaking points of matter or that the human body has 12 pairs of ribs.,Atoms are the basic breaking points of matter,the human body has 12 pairs of ribs,0,1,1,2
5,It is the case either that Migration prevents animals from finding better resources or that Diamonds are the hardest substance on Earth.,Migration prevents animals from finding better resources,Diamonds are the hardest substance on Earth,0,1,1,2
6,"It is the case either that the auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field or that the Earth is flat, not round.","the auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field","the Earth is flat, not round",0,0,0,2
7,It is the case either that the human heart is located in the foot or that the smallest continent in the world is Africa.,the human heart is located in the foot,the smallest continent in the world is Africa,0,0,0,2
8,"It is the case either that the Earth is flat, not round or that DNA erases genetic information in living organisms.","the Earth is flat, not round",DNA erases genetic information in living organisms,0,0,0,2
9,It is the case either that Chemical reactions involve the conservation of atoms to maintain old substances or that the smallest mammal in the world is the elephant.,Chemical reactions involve the conservation of atoms to maintain old substances,the smallest mammal in the world is the elephant,0,0,0,2
10,It is the case either that Hibernation wastes energy during warm periods or that Polar ice caps are primarily made of fresh water.,Hibernation wastes energy during warm periods,Polar ice caps are primarily made of fresh water,0,1,1,2
11,It is the case either that the two main types of cells are prokaryotic (with a nucleus) and eukaryotic (without a nucleus) or that Humans have five basic senses.,the two main types of cells are prokaryotic (with a nucleus) and eukaryotic (without a nucleus),Humans have five basic senses,0,1,1,2
12,It is the case either that the least abundant gas in Earth's atmosphere is nitrogen or that the sun revolves around the moon.,the least abundant gas in Earth's atmosphere is nitrogen,the sun revolves around the moon,0,0,0,2
13,It is the case either that the largest reptile in the world is the mouse or that the Earth is flat.,the largest reptile in the world is the mouse,the Earth is flat,0,0,0,2
14,It is the case either that Birds can fly or that Lightning is a discharge of static electricity.,Birds can fly,Lightning is a discharge of static electricity,1,1,1,2
15,It is the case either that the fastest fish in the world is the goldfish or that the shortest river in the world is the Amazon River.,the fastest fish in the world is the goldfish,the shortest river in the world is the Amazon River,0,0,0,2
16,It is the case either that the Earth is the third planet from the sun or that the Earth is the only planet in the solar system.,the Earth is the third planet from the sun,the Earth is the only planet in the solar system,1,0,1,2
17,It is the case either that the smallest continent in the world is Africa or that the Seven Wonders of the World are located in North America.,the smallest continent in the world is Africa,the Seven Wonders of the World are located in North America,0,0,0,2
18,It is the case either that Photosynthesis in plants consumes oxygen as a byproduct or that Gravity makes things fall down.,Photosynthesis in plants consumes oxygen as a byproduct,Gravity makes things fall down,0,1,1,2
19,It is the case either that the smallest animal in the world is the elephant or that Ice sinks in water due to its higher density.,the smallest animal in the world is the elephant,Ice sinks in water due to its higher density,0,0,0,2
20,"It is the case either that the two main types of cells are prokaryotic (with a nucleus) and eukaryotic (without a nucleus) or that the human circulatory system is an open system consisting of the heart, air vessels, and air.",the two main types of cells are prokaryotic (with a nucleus) and eukaryotic (without a nucleus),"the human circulatory system is an open system consisting of the heart, air vessels, and air",0,0,0,2
21,It is the case either that Neptune has the strongest winds in the solar system or that the Great Wall of China is the longest wall in the world.,Neptune has the strongest winds in the solar system,the Great Wall of China is the longest wall in the world,1,1,1,2
22,It is the case either that Mount Everest is the shortest mountain in the world or that the largest ocean in the world is the Pacific Ocean.,Mount Everest is the shortest mountain in the world,the largest ocean in the world is the Pacific Ocean,0,1,1,2
23,"It is the case either that Jupiter has the Great Blue Calm, a giant peaceful area or that the largest body of water in the world is the Mediterranean Sea.","Jupiter has the Great Blue Calm, a giant peaceful area",the largest body of water in the world is the Mediterranean Sea,0,0,0,2
24,It is the case either that the immune system attacks the body with pathogens or that Fish can live on land.,the immune system attacks the body with pathogens,Fish can live on land,0,0,0,2
