idx,statement,disjunctA_obj,disjunctB_obj,labelA,labelB,cell,compound_label,consistent
6,It is the case either that Thallium has the symbol Tl or that it has the symbol Co.,Tl,Co,1,0,TF,1,True
8,It is the case either that Calcium has the symbol P or that it has the symbol Eu.,P,Eu,0,0,FF,0,True
9,It is the case either that Cobalt has the symbol Sc or that it has the symbol Lu.,Sc,Lu,0,0,FF,0,True
19,It is the case either that Carbon has the symbol C or that it has the symbol Au.,C,Au,1,0,TF,1,True
39,It is the case either that Iodine has the symbol Nb or that it has the symbol K.,Nb,K,0,0,FF,0,True
49,It is the case either that Iridium has the symbol Fe or that it has the symbol Kr.,Fe,Kr,0,0,FF,0,True
51,It is the case either that Terbium has the symbol Tb or that it has the symbol He.,Tb,He,1,0,TF,1,True
62,It is the case either that Osmium has the symbol Ag or that it has the symbol Rn.,Ag,Rn,0,0,FF,0,True
76,It is the case either that Xenon has the symbol Yb or that it has the symbol Xe.,Yb,Xe,0,1,FT,1,True
81,It is the case either that Francium has the symbol Sc or that it has the symbol Fr.,Sc,Fr,0,1,FT,1,True
83,It is the case either that Tin has the symbol Be or that it has the symbol Tc.,Be,Tc,0,0,FF,0,True
99,It is the case either that Gadolinium has the symbol Gd or that it has the symbol Mg.,Gd,Mg,1,0,TF,1,True
101,It is the case either that Gadolinium has the symbol F or that it has the symbol Hg.,F,Hg,0,0,FF,0,True
114,It is the case either that Thulium has the symbol Ne or that it has the symbol Na.,Ne,Na,0,0,FF,0,True
126,It is the case either that Samarium has the symbol Sm or that it has the symbol O.,Sm,O,1,0,TF,1,True
154,It is the case either that Iridium has the symbol Ir or that it has the symbol Mn.,Ir,Mn,1,0,TF,1,True
228,It is the case either that Protactinium has the symbol Cr or that it has the symbol Pa.,Cr,Pa,0,1,FT,1,True
254,It is the case either that Protactinium has the symbol La or that it has the symbol Pa.,La,Pa,0,1,FT,1,True
265,It is the case either that Neon has the symbol Lu or that it has the symbol O.,Lu,O,0,0,FF,0,True
268,It is the case either that Lead has the symbol K or that it has the symbol Na.,K,Na,0,0,FF,0,True
309,It is the case either that Zinc has the symbol Zn or that it has the symbol Fe.,Zn,Fe,1,0,TF,1,True
310,It is the case either that Samarium has the symbol Fe or that it has the symbol Sm.,Fe,Sm,0,1,FT,1,True
356,It is the case either that Praseodymium has the symbol Si or that it has the symbol Sc.,Si,Sc,0,0,FF,0,True
372,It is the case either that Copper has the symbol P or that it has the symbol Cu.,P,Cu,0,1,FT,1,True
392,It is the case either that Oxygen has the symbol Ne or that it has the symbol Zn.,Ne,Zn,0,0,FF,0,True
399,It is the case either that Strontium has the symbol Zr or that it has the symbol Sn.,Zr,Sn,0,0,FF,0,True
413,It is the case either that Aluminum has the symbol O or that it has the symbol Sc.,O,Sc,0,0,FF,0,True
475,It is the case either that Xenon has the symbol F or that it has the symbol S.,F,S,0,0,FF,0,True
484,It is the case either that Silicon has the symbol Si or that it has the symbol Ac.,Si,Ac,1,0,TF,1,True
492,It is the case either that Nickel has the symbol Ni or that it has the symbol Li.,Ni,Li,1,0,TF,1,True
