statement,topic,truth_label,entity,dedup_identity,source_r1_row_indices,source_r1_conjunct_refs,n_r1_rows,n_r1_conjunct_occurrences,absence_reason
The aardvark is a insect.,animal_class,0,aardvark,animal_class::The aardvark is a insect.,"[389, 601, 774, 1122, 1538, 1541, 2528, 2869, 3231, 3385, 3612, 3687, 3920, 4303, 4418, 4928, 5596, 5777, 6485, 7443, 7463, 7617, 7893, 7919]","[""389:A"", ""601:A"", ""774:B"", ""1122:A"", ""1538:A"", ""1541:B"", ""2528:B"", ""2869:B"", ""3231:B"", ""3385:B"", ""3612:A"", ""3687:A"", ""3920:A"", ""4303:B"", ""4418:A"", ""4928:B"", ""5596:A"", ""5777:A"", ""6485:A"", ""7443:A"", ""7463:A"", ""7617:A"", ""7893:A"", ""7919:A""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
The alpaca is a amphibian.,animal_class,0,alpaca,animal_class::The alpaca is a amphibian.,"[1094, 3009, 4250, 4290, 4511, 5072, 6169, 7544]","[""1094:A"", ""3009:A"", ""4250:A"", ""4290:A"", ""4511:A"", ""5072:A"", ""6169:A"", ""7544:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The axolotl is a fish.,animal_class,0,axolotl,animal_class::The axolotl is a fish.,"[28, 251, 344, 827, 959, 2420, 2873, 2900, 3006, 3137, 3478, 4271, 4853, 5727, 5763, 5793, 5831, 6206, 6698, 6833, 7113, 7204, 7219, 7558]","[""28:B"", ""251:B"", ""344:A"", ""827:A"", ""959:B"", ""2420:B"", ""2873:B"", ""2900:B"", ""3006:A"", ""3137:B"", ""3478:A"", ""4271:B"", ""4853:B"", ""5727:B"", ""5763:A"", ""5793:B"", ""5831:A"", ""6206:B"", ""6698:B"", ""6833:B"", ""7113:B"", ""7204:A"", ""7219:A"", ""7558:B""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
The bat is a crustacean.,animal_class,0,bat,animal_class::The bat is a crustacean.,"[1231, 1259, 1626, 1657, 3695, 4213, 4912, 5217, 5649, 6229, 6353, 6390, 6532, 6556, 6906, 7162]","[""1231:B"", ""1259:B"", ""1626:B"", ""1657:B"", ""3695:B"", ""4213:B"", ""4912:B"", ""5217:B"", ""5649:B"", ""6229:B"", ""6353:B"", ""6390:B"", ""6532:B"", ""6556:B"", ""6906:B"", ""7162:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The bee is a mollusk.,animal_class,0,bee,animal_class::The bee is a mollusk.,"[1645, 1862, 1940, 2690, 2876, 3300, 3340, 3550, 4002, 5951, 6359, 6644, 7016, 7020, 7310, 7546]","[""1645:A"", ""1862:A"", ""1940:A"", ""2690:A"", ""2876:A"", ""3300:A"", ""3340:A"", ""3550:A"", ""4002:A"", ""5951:A"", ""6359:A"", ""6644:A"", ""7016:A"", ""7020:A"", ""7310:A"", ""7546:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The bison is a cnidarian.,animal_class,0,bison,animal_class::The bison is a cnidarian.,"[563, 595, 920, 1190, 1525, 1603, 1863, 1887, 1901, 2246, 2461, 2477, 2513, 3197, 3204, 3504, 3535, 3695, 3784, 4000, 4127, 4213, 4245, 4861, 4926, 5649, 6005, 6532, 7201, 7297, 7445, 7489]","[""563:A"", ""595:B"", ""920:A"", ""1190:A"", ""1525:B"", ""1603:B"", ""1863:A"", ""1887:B"", ""1901:A"", ""2246:A"", ""2461:A"", ""2477:A"", ""2513:A"", ""3197:A"", ""3204:B"", ""3504:B"", ""3535:A"", ""3695:A"", ""3784:B"", ""4000:A"", ""4127:A"", ""4213:A"", ""4245:B"", ""4861:A"", ""4926:A"", ""5649:A"", ""6005:A"", ""6532:A"", ""7201:A"", ""7297:A"", ""7445:A"", ""7489:A""]",32,32,generated_wrong_object_text_absent_from_source_atomic_metadata
The camel is a crustacean.,animal_class,0,camel,animal_class::The camel is a crustacean.,"[133, 139, 191, 273, 303, 336, 958, 1190, 1348, 1582, 1745, 1863, 2027, 2244, 2246, 2309, 2326, 2706, 2997, 3102, 3409, 3447, 3589, 3598, 4065, 4691, 5049, 5189, 5230, 5316, 5436, 5595, 5645, 5917, 5981, 6134, 6477, 6616, 6647, 6831, 6964, 7297, 7493, 7713, 7733, 7804, 7813, 7839]","[""133:A"", ""139:A"", ""191:B"", ""273:A"", ""303:B"", ""336:B"", ""958:B"", ""1190:B"", ""1348:A"", ""1582:B"", ""1745:B"", ""1863:B"", ""2027:B"", ""2244:A"", ""2246:B"", ""2309:B"", ""2326:B"", ""2706:B"", ""2997:B"", ""3102:A"", ""3409:B"", ""3447:B"", ""3589:A"", ""3598:B"", ""4065:A"", ""4691:A"", ""5049:B"", ""5189:B"", ""5230:B"", ""5316:B"", ""5436:B"", ""5595:B"", ""5645:B"", ""5917:A"", ""5981:A"", ""6134:A"", ""6477:B"", ""6616:B"", ""6647:B"", ""6831:A"", ""6964:A"", ""7297:B"", ""7493:A"", ""7713:A"", ""7733:B"", ""7804:B"", ""7813:B"", ""7839:B""]",48,48,generated_wrong_object_text_absent_from_source_atomic_metadata
The cassowary is a amphibian.,animal_class,0,cassowary,animal_class::The cassowary is a amphibian.,"[1049, 1559, 1650, 2794, 3861, 4312, 4729, 7833]","[""1049:B"", ""1559:B"", ""1650:B"", ""2794:B"", ""3861:B"", ""4312:B"", ""4729:B"", ""7833:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The cheetah is a arachnid.,animal_class,0,cheetah,animal_class::The cheetah is a arachnid.,"[836, 1182, 1843, 2017, 3867, 4091, 4590, 4834, 5411, 5811, 5925, 6240, 6371, 6481, 7300, 7784]","[""836:B"", ""1182:B"", ""1843:B"", ""2017:B"", ""3867:B"", ""4091:B"", ""4590:B"", ""4834:B"", ""5411:B"", ""5811:B"", ""5925:B"", ""6240:B"", ""6371:B"", ""6481:B"", ""7300:B"", ""7784:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The chimpanzee is a insect.,animal_class,0,chimpanzee,animal_class::The chimpanzee is a insect.,"[83, 277, 294, 354, 628, 707, 827, 1593, 1801, 2052, 2771, 2898, 3044, 3220, 3234, 3454, 3578, 3724, 3764, 3786, 3972, 4035, 4700, 4857, 5149, 5228, 5443, 5588, 5622, 5763, 5817, 5831, 5882, 6117, 6179, 6200, 6303, 6540, 6665, 6939, 6971, 6981, 7204, 7363, 7367, 7454, 7729, 7939]","[""83:B"", ""277:B"", ""294:B"", ""354:B"", ""628:B"", ""707:B"", ""827:B"", ""1593:B"", ""1801:B"", ""2052:A"", ""2771:A"", ""2898:B"", ""3044:B"", ""3220:A"", ""3234:B"", ""3454:A"", ""3578:A"", ""3724:A"", ""3764:B"", ""3786:B"", ""3972:B"", ""4035:B"", ""4700:B"", ""4857:B"", ""5149:B"", ""5228:B"", ""5443:B"", ""5588:B"", ""5622:B"", ""5763:B"", ""5817:B"", ""5831:B"", ""5882:B"", ""6117:B"", ""6179:B"", ""6200:B"", ""6303:B"", ""6540:B"", ""6665:A"", ""6939:B"", ""6971:A"", ""6981:B"", ""7204:B"", ""7363:B"", ""7367:B"", ""7454:B"", ""7729:B"", ""7939:B""]",48,48,generated_wrong_object_text_absent_from_source_atomic_metadata
