idx,statement,conjunctA,conjunctB,labelA,labelB,compound_label,n_parts
0,It is the case both that the Spanish word 'esperanza' means 'hope' and that the Spanish word 'hablar' means 'to speak'.,esperanza / hope,hablar / to speak,1,1,1,2
1,It is the case both that the Spanish word 'multiplicar' means 'to multiply' and that the Spanish word 'mes' means 'month'.,multiplicar / to multiply,mes / month,1,1,1,2
2,It is the case both that the Spanish word 'industria' means 'industry' and that the Spanish word 'tres' means 'three'.,industria / industry,tres / three,1,1,1,2
3,It is the case both that the Spanish word 'madera' means 'to have' and that the Spanish word 'leche' means 'glass'.,madera / to have,leche / glass,0,0,0,2
4,It is the case both that the Spanish word 'miedo' means 'fear' and that the Spanish word 'desarrollar' means 'to develop'.,miedo / fear,desarrollar / to develop,1,1,1,2
5,It is the case both that the Spanish word 'historia' means 'history' and that the Spanish word 'nombre' means 'name'.,historia / history,nombre / name,1,1,1,2
6,It is the case both that the Spanish word 'jirafa' means 'giraffe' and that the Spanish word 'esperanza' means 'hope'.,jirafa / giraffe,esperanza / hope,1,1,1,2
7,It is the case both that the Spanish word 'roca' means 'rock' and that the Spanish word 'libro' means 'industry'.,roca / rock,libro / industry,1,0,0,2
8,It is the case both that the Spanish word 'pensar' means 'to think' and that the Spanish word 'esperanza' means 'hope'.,pensar / to think,esperanza / hope,1,1,1,2
9,It is the case both that the Spanish word 'decir' means 'order' and that the Spanish word 'pierna' means 'leg'.,decir / order,pierna / leg,0,1,0,2
10,It is the case both that the Spanish word 'diccionario' means 'dictionary' and that the Spanish word 'planta' means 'cloud'.,diccionario / dictionary,planta / cloud,1,0,0,2
11,It is the case both that the Spanish word 'construir' means 'to build' and that the Spanish word 'dinero' means 'mouth'.,construir / to build,dinero / mouth,1,0,0,2
12,It is the case both that the Spanish word 'zorro' means 'shell' and that the Spanish word 'conejo' means 'rabbit'.,zorro / shell,conejo / rabbit,0,1,0,2
13,It is the case both that the Spanish word 'pronto' means 'to die' and that the Spanish word 'decidir' means 'to give'.,pronto / to die,decidir / to give,0,0,0,2
14,It is the case both that the Spanish word 'cebra' means 'to imagine' and that the Spanish word 'seco' means 'book'.,cebra / to imagine,seco / book,0,0,0,2
15,It is the case both that the Spanish word 'conectar' means 'to connect' and that the Spanish word 'roca' means 'rock'.,conectar / to connect,roca / rock,1,1,1,2
16,It is the case both that the Spanish word 'delgado' means 'thin' and that the Spanish word 'concha' means 'shell'.,delgado / thin,concha / shell,1,1,1,2
17,It is the case both that the Spanish word 'pasar' means 'to pass' and that the Spanish word 'nada' means 'nothing'.,pasar / to pass,nada / nothing,1,1,1,2
18,It is the case both that the Spanish word 'hierro' means 'iron' and that the Spanish word 'nombre' means 'name'.,hierro / iron,nombre / name,1,1,1,2
19,It is the case both that the Spanish word 'momento' means 'moment' and that the Spanish word 'noche' means 'night'.,momento / moment,noche / night,1,1,1,2
20,It is the case both that the Spanish word 'esperanza' means 'hope' and that the Spanish word 'rosa' means 'rose'.,esperanza / hope,rosa / rose,1,1,1,2
21,It is the case both that the Spanish word 'hombro' means 'shoulder' and that the Spanish word 'invierno' means 'winter'.,hombro / shoulder,invierno / winter,1,1,1,2
22,It is the case both that the Spanish word 'bueno' means 'good' and that the Spanish word 'oferta' means 'offer'.,bueno / good,oferta / offer,1,1,1,2
23,It is the case both that the Spanish word 'sur' means 'south' and that the Spanish word 'oferta' means 'offer'.,sur / south,oferta / offer,1,1,1,2
24,It is the case both that the Spanish word 'rosa' means 'rose' and that the Spanish word 'rana' means 'frog'.,rosa / rose,rana / frog,1,1,1,2
25,It is the case both that the Spanish word 'recibir' means 'time' and that the Spanish word 'familia' means 'family'.,recibir / time,familia / family,0,1,0,2
26,It is the case both that the Spanish word 'mientras' means 'while' and that the Spanish word 'oso' means 'bear'.,mientras / while,oso / bear,1,1,1,2
27,It is the case both that the Spanish word 'y' means 'and' and that the Spanish word 'perdido' means 'test'.,y / and,perdido / test,1,0,0,2
28,It is the case both that the Spanish word 'pasar' means 'to pass' and that the Spanish word 'voz' means 'voice'.,pasar / to pass,voz / voice,1,1,1,2
29,It is the case both that the Spanish word 'enemigo' means 'enemy' and that the Spanish word 'lugar' means 'place'.,enemigo / enemy,lugar / place,1,1,1,2
30,It is the case both that the Spanish word 'conjunto' means 'son' and that the Spanish word 'plata' means 'silver'.,conjunto / son,plata / silver,0,1,0,2
31,It is the case both that the Spanish word 'joven' means 'hot' and that the Spanish word 'todo' means 'all'.,joven / hot,todo / all,0,1,0,2
32,It is the case both that the Spanish word 'hablar' means 'to speak' and that the Spanish word 'espalda' means 'back'.,hablar / to speak,espalda / back,1,1,1,2
33,It is the case both that the Spanish word 'roca' means 'rock' and that the Spanish word 'enviar' means 'to send'.,roca / rock,enviar / to send,1,1,1,2
34,It is the case both that the Spanish word 'tener' means 'to have' and that the Spanish word 'abierto' means 'open'.,tener / to have,abierto / open,1,1,1,2
35,It is the case both that the Spanish word 'ejemplo' means 'example' and that the Spanish word 'lanzar' means 'to throw'.,ejemplo / example,lanzar / to throw,1,1,1,2
