topic,entity_pair_id,conjunctA,conjunctB,ordering,cell,labelA,labelB,and_row_index,or_row_index,and_statement,or_statement,atomic_union_score_and,atomic_union_score_or,atomic_union_delta_OR_AND,compound_trained_score_and,compound_trained_score_or,compound_trained_delta_OR_AND,and_partition,or_partition
sp_en_trans,"sp_en_trans::[""imaginar"",""pero""]",The Spanish word 'pero' means 'hot'.,The Spanish word 'imaginar' means 'star'.,BA,FF,0,0,0,3948,The Spanish word 'imaginar' means 'star' and the Spanish word 'pero' means 'hot'.,The Spanish word 'imaginar' means 'star' or the Spanish word 'pero' means 'hot'.,3.3585770148467446,-6.471798715301233,-9.830375730147978,-21.621761492406225,-3.8339792486389075,17.787782243767317,train,train
sp_en_trans,"sp_en_trans::[""higo"",""roca""]",The Spanish word 'higo' means 'nothing'.,The Spanish word 'roca' means 'rock'.,BA,FT,0,1,3590,1,The Spanish word 'roca' means 'rock' and the Spanish word 'higo' means 'nothing'.,The Spanish word 'roca' means 'rock' or the Spanish word 'higo' means 'nothing'.,1.1834797997805555,-5.3646207858572925,-6.548100585637848,-10.435984017985978,3.660386731887945,14.096370749873923,train,train
element_symb,"element_symb::[""Copper"",""Nitrogen""]",Nitrogen has the symbol N.,Copper has the symbol Cu.,BA,TT,1,1,2,3684,Copper has the symbol Cu and Nitrogen has the symbol N.,Copper has the symbol Cu or Nitrogen has the symbol N.,6.372776838196629,5.464262731243997,-0.9085141069526328,6.134307347432991,20.63083177261854,14.496524425185548,test,test
cities,"cities::[""Indianapolis"",""San Miguel de Tucuman""]",The city of San Miguel de Tucuman is in Finland.,The city of Indianapolis is in Egypt.,BA,FF,0,0,472,3,The city of Indianapolis is in Egypt and the city of San Miguel de Tucuman is in Finland.,The city of Indianapolis is in Egypt or the city of San Miguel de Tucuman is in Finland.,0.5685304815950367,3.739958859917571,3.1714283783225343,-26.082608523246268,-10.435195564170142,15.647412959076126,train,train
inventors,"inventors::[""Igor Tamm"",""Whitcomb Judson""]",Whitcomb Judson lived in Sweden/the U.S.,Igor Tamm lived in Denmark.,BA,FF,0,0,4,6577,Igor Tamm lived in Denmark and Whitcomb Judson lived in Sweden/the U.S.,Igor Tamm lived in Denmark or Whitcomb Judson lived in Sweden/the U.S.,5.91042172294363,-0.9290036110444806,-6.83942533398811,-9.891437768264538,-4.035086675840653,5.856351092423885,train,train
cities,"cities::[""Asmara"",""Onitsha""]",The city of Asmara is in Eritrea.,The city of Onitsha is in Vietnam.,AB,TF,1,0,4645,5,The city of Asmara is in Eritrea and the city of Onitsha is in Vietnam.,The city of Asmara is in Eritrea or the city of Onitsha is in Vietnam.,4.581046637700304,1.8631998691733995,-2.717846768526904,-16.5881659864915,7.202755846502074,23.790921832993575,train,train
element_symb,"element_symb::[""Cesium"",""Dysprosium""]",Dysprosium has the symbol I.,Cesium has the symbol Ce.,BA,FF,0,0,6,5062,Cesium has the symbol Ce and Dysprosium has the symbol I.,Cesium has the symbol Ce or Dysprosium has the symbol I.,-6.200015926909741,-9.481557815199537,-3.281541888289796,-18.457701349146966,-2.178793164013592,16.278908185133375,train,train
cities,"cities::[""Hannover"",""Ho Chi Minh City""]",The city of Ho Chi Minh City is in Vietnam.,The city of Hannover is in Germany.,BA,TT,1,1,7,2417,The city of Hannover is in Germany and the city of Ho Chi Minh City is in Vietnam.,The city of Hannover is in Germany or the city of Ho Chi Minh City is in Vietnam.,16.08910623631078,4.637713017665798,-11.45139321864498,17.620676273767256,33.60780562066844,15.987129346901181,train,train
sp_en_trans,"sp_en_trans::[""ciudad"",""y""]",The Spanish word 'y' means 'city'.,The Spanish word 'ciudad' means 'city'.,BA,FT,0,1,1403,8,The Spanish word 'ciudad' means 'city' and the Spanish word 'y' means 'city'.,The Spanish word 'ciudad' means 'city' or the Spanish word 'y' means 'city'.,-5.655732338795174,-6.336066202398699,-0.6803338636035257,-8.602159349459624,14.123799479842567,22.725958829302193,train,train
animal_class,"animal_class::[""moose"",""otter""]",The otter is a mammal.,The moose is a reptile.,AB,TF,1,0,9,3751,The otter is a mammal and the moose is a reptile.,The otter is a mammal or the moose is a reptile.,-1.6985561945914345,3.281112701638209,4.979668896229644,-11.75736352866008,12.75700721956769,24.51437074822777,train,train
element_symb,"element_symb::[""Gadolinium"",""Rhenium""]",Rhenium has the symbol Re.,Gadolinium has the symbol Xe.,AB,TF,1,0,10,5618,Rhenium has the symbol Re and Gadolinium has the symbol Xe.,Rhenium has the symbol Re or Gadolinium has the symbol Xe.,-9.393318699377708,-5.621743112389858,3.7715755869878502,-14.478620986926439,7.500165824119456,21.978786811045893,train,train
inventors,"inventors::[""Charles Francis Richter"",""John Walker""]",John Walker lived in India.,Charles Francis Richter lived in India.,BA,FF,0,0,11,5074,Charles Francis Richter lived in India and John Walker lived in India.,Charles Francis Richter lived in India or John Walker lived in India.,8.398538265599653,6.608066516663996,-1.7904717489356567,-9.169463633355297,-5.384334793994855,3.7851288393604428,train,train
element_symb,"element_symb::[""Lead"",""Lithium""]",Lithium has the symbol Rh.,Lead has the symbol Er.,AB,FF,0,0,4549,12,Lithium has the symbol Rh and Lead has the symbol Er.,Lithium has the symbol Rh or Lead has the symbol Er.,-5.03941179358158,-7.268785353734691,-2.2293735601531104,-25.22319117955335,-7.912109551052771,17.31108162850058,train,train
element_symb,"element_symb::[""Manganese"",""Terbium""]",Terbium has the symbol Br.,Manganese has the symbol Mn.,BA,FT,0,1,7421,13,Manganese has the symbol Mn and Terbium has the symbol Br.,Manganese has the symbol Mn or Terbium has the symbol Br.,-1.7654905853379803,-6.177939059109615,-4.412448473771635,-7.21335889529463,10.344863062946887,17.558221958241518,train,train
element_symb,"element_symb::[""Antimony"",""Praseodymium""]",Antimony has the symbol Ca.,Praseodymium has the symbol I.,BA,FF,0,0,535,14,Praseodymium has the symbol I and Antimony has the symbol Ca.,Praseodymium has the symbol I or Antimony has the symbol Ca.,-6.203959069899266,-4.049193853691852,2.154765216207414,-21.60696218938126,-7.608101293638317,13.998860895742943,test,test
sp_en_trans,"sp_en_trans::[""esquina"",""pero""]",The Spanish word 'pero' means 'hot'.,The Spanish word 'esquina' means 'corner'.,AB,FT,0,1,5194,15,The Spanish word 'pero' means 'hot' and the Spanish word 'esquina' means 'corner'.,The Spanish word 'pero' means 'hot' or the Spanish word 'esquina' means 'corner'.,5.437785130737603,3.098976981927727,-2.338808148809876,-5.704608393725335,10.189794303082598,15.894402696807933,train,train
inventors,"inventors::[""Arthur Fry"",""Édouard-Léon Scott de Martinville""]",Édouard-Léon Scott de Martinville lived in Poland/Germany.,Arthur Fry lived in the U.S.,BA,FT,0,1,523,16,Arthur Fry lived in the U.S and Édouard-Léon Scott de Martinville lived in Poland/Germany.,Arthur Fry lived in the U.S or Édouard-Léon Scott de Martinville lived in Poland/Germany.,7.449493677905308,-0.7057400034412193,-8.155233681346527,-7.345075318106,4.263631553736585,11.608706871842585,train,train
element_symb,"element_symb::[""Gallium"",""Molybdenum""]",Gallium has the symbol Ga.,Molybdenum has the symbol Mo.,AB,TT,1,1,17,7013,Gallium has the symbol Ga and Molybdenum has the symbol Mo.,Gallium has the symbol Ga or Molybdenum has the symbol Mo.,5.217734091634654,2.1070044570258144,-3.1107296346088393,14.916237969838937,14.347580952890826,-0.5686570169481104,test,test
element_symb,"element_symb::[""Radon"",""Scandium""]",Scandium has the symbol Sc.,Radon has the symbol Np.,AB,TF,1,0,18,3737,Scandium has the symbol Sc and Radon has the symbol Np.,Scandium has the symbol Sc or Radon has the symbol Np.,-7.389156618699799,-0.5493864998570341,6.839770118842765,-10.767981060792673,17.9479988503324,28.715979911125075,train,train
sp_en_trans,"sp_en_trans::[""cabeza"",""lento""]",The Spanish word 'lento' means 'cook'.,The Spanish word 'cabeza' means 'head'.,BA,FT,0,1,7063,19,The Spanish word 'cabeza' means 'head' and the Spanish word 'lento' means 'cook'.,The Spanish word 'cabeza' means 'head' or the Spanish word 'lento' means 'cook'.,0.1218866092856867,-5.701575702508402,-5.8234623117940885,-13.315298951287984,6.947355257248188,20.262654208536173,test,test
