conjunctA,conjunctB,labelA,labelB,connective,global_truth,score_A,score_B,score_compound
The goat is a mammal.,The narwhal is a mammal.,1,1,and,1,10.610033676700986,15.127538386138083,11.075857166386337
James Watt lived in Scotland.,Charles Babbage lived in the U.S.,1,0,and,0,9.848238864339997,-12.42169549367671,-2.134770795391601
Cesium has the symbol Ce.,Neodymium has the symbol Nd.,0,1,or,1,3.160082358760641,6.010652044000585,-0.3026451155058911
The city of Al Mawsil al Jadidah is in Iraq.,The city of Makassar is in the United States.,1,0,and,0,9.14130358270549,-11.573457773555626,2.5821537880177994
Daisuke Inoue lived in Sweden.,Hans von Ohain lived in Germany.,0,1,and,0,-5.580510636159415,15.295398824261708,8.290897803008303
The city of Beijing is in the Republic of the Congo.,The city of Kemerovo is in Tajikistan.,0,0,and,0,-9.567444072679033,-7.069004192526966,-2.1423040694957542
R. Buckminster Fuller lived in the U.S.,Ferdinand Carré lived in France.,1,1,and,1,5.740375682006834,11.786052831922246,8.460398618149217
The porcupine is a bird.,The raccoon is a mammal.,0,1,and,0,-12.456597806492288,14.464255173859497,-1.176895424029814
The city of Bhopal is in India.,The city of Kisangani is in Senegal.,1,0,and,0,10.441161233653258,-4.867826957100926,3.905167711400045
The Spanish word 'papel' means 'neck'.,The Spanish word 'concha' means 'shell'.,0,1,and,0,-16.138761533208623,5.845771392028352,1.4387364945867098
