statement,topic,conjunctA,conjunctB,labelA,labelB,cell,connective,ordering
The Spanish word 'imaginar' means 'star' and the Spanish word 'pero' means 'hot'.,sp_en_trans,The Spanish word 'pero' means 'hot'.,The Spanish word 'imaginar' means 'star'.,0,0,FF,and,BA
The Spanish word 'roca' means 'rock' or the Spanish word 'higo' means 'nothing'.,sp_en_trans,The Spanish word 'higo' means 'nothing'.,The Spanish word 'roca' means 'rock'.,0,1,FT,or,BA
Copper has the symbol Cu and Nitrogen has the symbol N.,element_symb,Nitrogen has the symbol N.,Copper has the symbol Cu.,1,1,TT,and,BA
The city of Indianapolis is in Egypt or the city of San Miguel de Tucuman is in Finland.,cities,The city of San Miguel de Tucuman is in Finland.,The city of Indianapolis is in Egypt.,0,0,FF,or,BA
Igor Tamm lived in Denmark and Whitcomb Judson lived in Sweden/the U.S.,inventors,Whitcomb Judson lived in Sweden/the U.S.,Igor Tamm lived in Denmark.,0,0,FF,and,BA
The city of Asmara is in Eritrea or the city of Onitsha is in Vietnam.,cities,The city of Asmara is in Eritrea.,The city of Onitsha is in Vietnam.,1,0,TF,or,AB
Cesium has the symbol Ce and Dysprosium has the symbol I.,element_symb,Dysprosium has the symbol I.,Cesium has the symbol Ce.,0,0,FF,and,BA
The city of Hannover is in Germany and the city of Ho Chi Minh City is in Vietnam.,cities,The city of Ho Chi Minh City is in Vietnam.,The city of Hannover is in Germany.,1,1,TT,and,BA
The Spanish word 'ciudad' means 'city' or the Spanish word 'y' means 'city'.,sp_en_trans,The Spanish word 'y' means 'city'.,The Spanish word 'ciudad' means 'city'.,0,1,FT,or,BA
The otter is a mammal and the moose is a reptile.,animal_class,The otter is a mammal.,The moose is a reptile.,1,0,TF,and,AB
Rhenium has the symbol Re and Gadolinium has the symbol Xe.,element_symb,Rhenium has the symbol Re.,Gadolinium has the symbol Xe.,1,0,TF,and,AB
Charles Francis Richter lived in India and John Walker lived in India.,inventors,John Walker lived in India.,Charles Francis Richter lived in India.,0,0,FF,and,BA
Lithium has the symbol Rh or Lead has the symbol Er.,element_symb,Lithium has the symbol Rh.,Lead has the symbol Er.,0,0,FF,or,AB
Manganese has the symbol Mn or Terbium has the symbol Br.,element_symb,Terbium has the symbol Br.,Manganese has the symbol Mn.,0,1,FT,or,BA
Praseodymium has the symbol I or Antimony has the symbol Ca.,element_symb,Antimony has the symbol Ca.,Praseodymium has the symbol I.,0,0,FF,or,BA
