dataset,idx,statement,operandA,operandB,labelA,labelB,cell,compound_label
cities_disj,41,It is the case either that the city of Foshan is in Mozambique or that it is in China.,Mozambique,China,0,1,FT,0
cities_disj,90,It is the case either that the city of Luohe is in China or that it is in Brazil.,China,Brazil,1,0,TF,0
cities_disj,92,It is the case either that the city of Abobo is in Côte Korea or that it is in d'Ivoire.,Côte Korea,d'Ivoire,0,0,FF,1
cities_disj,124,It is the case either that the city of Shijiazhuang is in China or that it is in Uzbekistan.,China,Uzbekistan,1,0,TF,0
cities_disj,125,It is the case either that the city of Deyang is in Japan or that it is in China.,Japan,China,0,1,FT,0
cities_disj,128,It is the case either that the city of Lanzhou is in Mexico or that it is in China.,Mexico,China,0,1,FT,0
cities_disj,138,It is the case either that the city of Yangjiang is in China or that it is in Indonesia.,China,Indonesia,1,0,TF,0
cities_disj,149,It is the case either that the city of Tembisa is in South Japan or that it is in Africa.,South Japan,Africa,0,0,FF,1
cities_disj,183,It is the case either that the city of Hegang is in Russia or that it is in China.,Russia,China,0,1,FT,0
cities_disj,184,It is the case either that the city of Daejeon is in South India or that it is in Korea.,South India,Korea,0,0,FF,1
cities_disj,185,It is the case either that the city of Sapporo is in Japan or that it is in Mexico.,Japan,Mexico,1,0,TF,0
cities_disj,247,It is the case either that the city of Fukuoka is in Senegal or that it is in Japan.,Senegal,Japan,0,1,FT,0
cities_disj,273,It is the case either that the city of Zhangye is in Venezuela or that it is in China.,Venezuela,China,0,1,FT,0
cities_disj,274,It is the case either that the city of Da Nang is in Vietnam or that it is in China.,Vietnam,China,1,0,TF,0
cities_disj,299,It is the case either that the city of Cape Town is in South Bangladesh or that it is in Africa.,South Bangladesh,Africa,0,0,FF,1
cities_disj,310,It is the case either that the city of Luancheng is in China or that it is in Brazil.,China,Brazil,1,0,TF,0
cities_disj,322,It is the case either that the city of Rui'an is in Indonesia or that it is in China.,Indonesia,China,0,1,FT,0
cities_disj,324,It is the case either that the city of Jinan is in China or that it is in Rwanda.,China,Rwanda,1,0,TF,0
cities_disj,354,It is the case either that the city of Mbuji-Mayi is in the Democratic Republic of the Iraq or that it is in Congo.,the Democratic Republic of the Iraq,Congo,0,0,FF,1
cities_disj,366,It is the case either that the city of Ningbo is in South Korea or that it is in China.,South Korea,China,0,1,FT,0
cities_disj,369,It is the case either that the city of Seattle is in the United Arabia or that it is in States.,the United Arabia,States,0,0,FF,1
cities_disj,370,It is the case either that the city of Longyan is in Benin or that it is in China.,Benin,China,0,1,FT,0
cities_disj,371,It is the case either that the city of Suwon is in South China or that it is in Korea.,South China,Korea,0,0,FF,1
cities_disj,393,It is the case either that the city of Jinan is in China or that it is in Rwanda.,China,Rwanda,1,0,TF,0
cities_disj,436,It is the case either that the city of Zhanjiang is in China or that it is in India.,China,India,1,0,TF,0
cities_disj,444,It is the case either that the city of Dhanbad is in India or that it is in Kenya.,India,Kenya,1,0,TF,0
cities_disj,456,It is the case either that the city of Jiaozuo is in Bangladesh or that it is in China.,Bangladesh,China,0,1,FT,0
cities_disj,480,It is the case either that the city of Sanming is in Bulgaria or that it is in China.,Bulgaria,China,0,1,FT,0
element_symb_disj,56,It is the case either that Lead has the symbol Pb or that it has the symbol Na.,Pb,Na,1,0,TF,0
element_symb_disj,132,It is the case either that Barium has the symbol Sb or that it has the symbol Ba.,Sb,Ba,0,1,FT,0
element_symb_disj,349,It is the case either that Scandium has the symbol Rn or that it has the symbol Sc.,Rn,Sc,0,1,FT,0
inventors_disj,22,It is the case either that Edwin H. Land lived in the U.S or that he/she lived in Sweden.,the U.S,Sweden,1,0,TF,0
inventors_disj,30,It is the case either that Joseph Aspdin lived in the U.K or that he/she lived in Switzerland.,the U.K,Switzerland,1,0,TF,0
inventors_disj,78,It is the case either that James Murray Spangler lived in the U.K or that he/she lived in the U.S.,the U.K,the U.S,0,1,FT,0
inventors_disj,101,It is the case either that Joseph Henry lived in the U.K or that he/she lived in the U.S.,the U.K,the U.S,0,1,FT,0
inventors_disj,108,It is the case either that Christopher Cockerell lived in France or that he/she lived in the U.K.,France,the U.K,0,1,FT,0
inventors_disj,122,It is the case either that Charles Francis Jenkins lived in the U.S or that he/she lived in Germany.,the U.S,Germany,1,0,TF,0
inventors_disj,163,It is the case either that Josephine Cochrane lived in the U.S or that he/she lived in Germany.,the U.S,Germany,1,0,TF,0
inventors_disj,181,It is the case either that Ferdinand Carré lived in France or that he/she lived in the U.S.,France,the U.S,1,0,TF,0
inventors_disj,201,It is the case either that Charles Francis Richter lived in France or that he/she lived in the U.S.,France,the U.S,0,1,FT,0
inventors_disj,252,It is the case either that Alec Jeffreys lived in France or that he/she lived in the U.K.,France,the U.K,0,1,FT,0
inventors_disj,270,It is the case either that John Wesley Hyatt lived in the U.K or that he/she lived in the U.S.,the U.K,the U.S,0,1,FT,0
inventors_disj,273,It is the case either that Chester Carlson lived in the U.S or that he/she lived in the U.K.,the U.S,the U.K,1,0,TF,0
inventors_disj,275,It is the case either that Frederick Walton lived in the U.K or that he/she lived in the U.S.,the U.K,the U.S,1,0,TF,0
inventors_disj,292,It is the case either that Albert Ghiorso lived in the U.S or that he/she lived in the U.K.,the U.S,the U.K,1,0,TF,0
inventors_disj,298,It is the case either that Sir Isaac Newton lived in the U.S or that he/she lived in the U.K.,the U.S,the U.K,0,1,FT,0
inventors_disj,305,It is the case either that Leon Theremin lived in Russia or that he/she lived in Germany.,Russia,Germany,1,0,TF,0
inventors_disj,307,It is the case either that Ada Lovelace lived in the U.S or that he/she lived in the U.K.,the U.S,the U.K,0,1,FT,0
