idx,statement,conjunctA,conjunctB,labelA,labelB,cell,compound_label,consistent
6,"It is the case both that the three types of rocks are igneous, sedimentary, and metamorphic and that the fastest car in the world is made of cardboard.","the three types of rocks are igneous, sedimentary, and metamorphic",the fastest car in the world is made of cardboard,1,0,TF,0,True
8,It is the case both that Rainbows form when light refracts through water droplets and that the Mona Lisa was painted by Michelangelo.,Rainbows form when light refracts through water droplets,the Mona Lisa was painted by Michelangelo,1,0,TF,0,True
9,It is the case both that Conduction is the transfer of heat through the stagnation of fluids or gases and that the Great Sphinx of Giza is an ancient statue in Egypt.,Conduction is the transfer of heat through the stagnation of fluids or gases,the Great Sphinx of Giza is an ancient statue in Egypt,0,1,FT,0,True
19,It is the case both that Tornadoes are rapidly rotating columns of air that can cause extensive damage and that the Hubble Space Telescope has provided valuable information about distant celestial objects.,Tornadoes are rapidly rotating columns of air that can cause extensive damage,the Hubble Space Telescope has provided valuable information about distant celestial objects,1,1,TT,1,True
39,It is the case both that Light can exhibit neither wave-like nor particle-like properties and that the smallest state in the United States is Texas.,Light can exhibit neither wave-like nor particle-like properties,the smallest state in the United States is Texas,0,0,FF,0,True
49,It is the case both that the ozone layer exposes Earth to harmful ultraviolet radiation and that DNA carries genetic information in living organisms.,the ozone layer exposes Earth to harmful ultraviolet radiation,DNA carries genetic information in living organisms,0,1,FT,0,True
51,It is the case both that Gravity makes things fall down and that the moon is made of cheese.,Gravity makes things fall down,the moon is made of cheese,1,0,TF,0,True
62,It is the case both that the Sun is a star and that the largest reptile in the world is the crocodile.,the Sun is a star,the largest reptile in the world is the crocodile,1,0,TF,0,True
76,"It is the case both that the human circulatory system is an open system consisting of the heart, air vessels, and air and that Rainbows are formed when light is refracted through water droplets in the air.","the human circulatory system is an open system consisting of the heart, air vessels, and air",Rainbows are formed when light is refracted through water droplets in the air,0,1,FT,0,True
81,It is the case both that the Earth's atmosphere is composed mostly of helium and carbon dioxide and that Birds can fly.,the Earth's atmosphere is composed mostly of helium and carbon dioxide,Birds can fly,0,1,FT,0,True
