model,topic,n_pairs,n_rows,r2,rmse
G,animal_class,17,272,-0.03366281264138071,4.181323624420022
G,cities,19,304,0.05731177558782796,4.2222256688081545
G,element_symb,21,336,-0.27924576560157854,6.256566091724541
G,inventors,25,400,-0.5714703291815375,5.22422274436509
G,sp_en_trans,18,288,-0.07595294734546476,5.050259541323401
C,animal_class,17,272,0.32603632188033305,3.3763120749478226
C,cities,19,304,0.3163642270887036,3.5955869102582647
C,element_symb,21,336,0.09092604849010277,5.274224956982692
C,inventors,25,400,-0.11783635286056948,4.406134066275236
C,sp_en_trans,18,288,0.5424933099926467,3.2931823760505625
C+G,animal_class,17,272,0.3289936358008019,3.368896399356461
C+G,cities,19,304,0.31998575639487825,3.5860505350814504
C+G,element_symb,21,336,0.09189316270673753,5.2714187302389055
C+G,inventors,25,400,-0.12236878018658248,4.415057680199061
C+G,sp_en_trans,18,288,0.5427973299342637,3.292088010090725
