dataset,topic,form,row_index,entity,label,partition
cities,cities,affirmative,0,Krasnodar,1,train
cities,cities,affirmative,1,Krasnodar,0,train
cities,cities,affirmative,2,Lodz,1,train
cities,cities,affirmative,3,Lodz,0,train
cities,cities,affirmative,4,Maracay,1,train
cities,cities,affirmative,5,Maracay,0,train
cities,cities,affirmative,6,Baku,1,train
cities,cities,affirmative,7,Baku,0,train
cities,cities,affirmative,8,Baoji,1,test
cities,cities,affirmative,9,Baoji,0,test
cities,cities,affirmative,10,Addis Ababa,1,train
cities,cities,affirmative,11,Addis Ababa,0,train
cities,cities,affirmative,12,Abidjan,1,test
cities,cities,affirmative,13,Abidjan,0,test
cities,cities,affirmative,14,Yongzhou,1,train
cities,cities,affirmative,15,Yongzhou,0,train
cities,cities,affirmative,16,Nanchong,1,train
cities,cities,affirmative,17,Nanchong,0,train
cities,cities,affirmative,18,Lu'an,1,train
cities,cities,affirmative,19,Lu'an,0,train
cities,cities,affirmative,20,Jiaxing,1,train
cities,cities,affirmative,21,Jiaxing,0,train
cities,cities,affirmative,22,Huaihua,1,train
cities,cities,affirmative,23,Huaihua,0,train
cities,cities,affirmative,24,Anqing,1,train
cities,cities,affirmative,25,Anqing,0,train
cities,cities,affirmative,26,Yingkou,1,train
cities,cities,affirmative,27,Yingkou,0,train
cities,cities,affirmative,28,Panshan,1,test
cities,cities,affirmative,29,Panshan,0,test
cities,cities,affirmative,30,Guatemala City,1,train
cities,cities,affirmative,31,Guatemala City,0,train
cities,cities,affirmative,32,Bauchi,1,train
cities,cities,affirmative,33,Bauchi,0,train
cities,cities,affirmative,34,Tokyo,1,train
cities,cities,affirmative,35,Tokyo,0,train
cities,cities,affirmative,36,Mombasa,1,train
cities,cities,affirmative,37,Mombasa,0,train
cities,cities,affirmative,38,Ulsan,1,train
cities,cities,affirmative,39,Ulsan,0,train
cities,cities,affirmative,40,Warangal,1,train
cities,cities,affirmative,41,Warangal,0,train
cities,cities,affirmative,42,Tiruchirappalli,1,train
cities,cities,affirmative,43,Tiruchirappalli,0,train
cities,cities,affirmative,44,Nowrangapur,1,test
cities,cities,affirmative,45,Nowrangapur,0,test
cities,cities,affirmative,46,Sambhaji Nagar,1,test
cities,cities,affirmative,47,Sambhaji Nagar,0,test
cities,cities,affirmative,48,Ajmer,1,train
cities,cities,affirmative,49,Ajmer,0,train
cities,cities,affirmative,50,Rohini,1,train
cities,cities,affirmative,51,Rohini,0,train
cities,cities,affirmative,52,Serang,1,test
cities,cities,affirmative,53,Serang,0,test
cities,cities,affirmative,54,Niigata,1,train
cities,cities,affirmative,55,Niigata,0,train
cities,cities,affirmative,56,Marrakesh,1,train
cities,cities,affirmative,57,Marrakesh,0,train
cities,cities,affirmative,58,Makati City,1,train
cities,cities,affirmative,59,Makati City,0,train
cities,cities,affirmative,60,Tirunelveli,1,test
cities,cities,affirmative,61,Tirunelveli,0,test
cities,cities,affirmative,62,Thane,1,test
cities,cities,affirmative,63,Thane,0,test
cities,cities,affirmative,64,Solapur,1,train
cities,cities,affirmative,65,Solapur,0,train
cities,cities,affirmative,66,Najafgarh,1,train
cities,cities,affirmative,67,Najafgarh,0,train
cities,cities,affirmative,68,Borivli,1,train
cities,cities,affirmative,69,Borivli,0,train
cities,cities,affirmative,70,Zhabei,1,train
cities,cities,affirmative,71,Zhabei,0,train
cities,cities,affirmative,72,Liaocheng,1,test
cities,cities,affirmative,73,Liaocheng,0,test
cities,cities,affirmative,74,Jiaozhou,1,train
cities,cities,affirmative,75,Jiaozhou,0,train
cities,cities,affirmative,76,Guilin,1,train
cities,cities,affirmative,77,Guilin,0,train
cities,cities,affirmative,78,Chaozhou,1,train
cities,cities,affirmative,79,Chaozhou,0,train
cities,cities,affirmative,80,Panzhihua,1,test
cities,cities,affirmative,81,Panzhihua,0,test
cities,cities,affirmative,82,Bucaramanga,1,train
cities,cities,affirmative,83,Bucaramanga,0,train
cities,cities,affirmative,84,Niamey,1,train
cities,cities,affirmative,85,Niamey,0,train
