topic,entity_pair_id,conjunctA,conjunctB,labelA,labelB,cell,connective,ordering,global_truth,score_A,score_B,score_compound
sp_en_trans,"sp_en_trans::[""imaginar"",""pero""]",The Spanish word 'pero' means 'hot'.,The Spanish word 'imaginar' means 'star'.,0,0,FF,and,BA,0,-13.636863285738402,-13.607809640313922,3.3585770148467446
sp_en_trans,"sp_en_trans::[""higo"",""roca""]",The Spanish word 'higo' means 'nothing'.,The Spanish word 'roca' means 'rock'.,0,1,FT,or,BA,1,-15.18139533680946,9.750711118736726,-5.3646207858572925
element_symb,"element_symb::[""Copper"",""Nitrogen""]",Nitrogen has the symbol N.,Copper has the symbol Cu.,1,1,TT,and,BA,1,7.422792306572902,8.986100737332958,6.372776838196629
cities,"cities::[""Indianapolis"",""San Miguel de Tucuman""]",The city of San Miguel de Tucuman is in Finland.,The city of Indianapolis is in Egypt.,0,0,FF,or,BA,0,-10.332434870053925,-15.600671157500871,3.7399588599175715
inventors,"inventors::[""Igor Tamm"",""Whitcomb Judson""]",Whitcomb Judson lived in Sweden/the U.S.,Igor Tamm lived in Denmark.,0,0,FF,and,BA,0,-1.0697624176195593,-11.201197609687485,5.91042172294363
cities,"cities::[""Asmara"",""Onitsha""]",The city of Asmara is in Eritrea.,The city of Onitsha is in Vietnam.,1,0,TF,or,AB,1,10.09918802586094,-13.219243828882105,1.8631998691733997
element_symb,"element_symb::[""Cesium"",""Dysprosium""]",Dysprosium has the symbol I.,Cesium has the symbol Ce.,0,0,FF,and,BA,0,-0.3727092442230511,3.160082358760641,-6.200015926909741
cities,"cities::[""Hannover"",""Ho Chi Minh City""]",The city of Ho Chi Minh City is in Vietnam.,The city of Hannover is in Germany.,1,1,TT,and,BA,1,10.221528467298095,12.434879962138137,16.08910623631078
sp_en_trans,"sp_en_trans::[""ciudad"",""y""]",The Spanish word 'y' means 'city'.,The Spanish word 'ciudad' means 'city'.,0,1,FT,or,BA,1,-10.819108211276893,8.283531964054268,-6.336066202398699
animal_class,"animal_class::[""moose"",""otter""]",The otter is a mammal.,The moose is a reptile.,1,0,TF,and,AB,0,13.646156963864135,-9.306349592424128,-1.6985561945914345
element_symb,"element_symb::[""Gadolinium"",""Rhenium""]",Rhenium has the symbol Re.,Gadolinium has the symbol Xe.,1,0,TF,and,AB,0,9.700338709071989,-13.423172421245644,-9.393318699377707
inventors,"inventors::[""Charles Francis Richter"",""John Walker""]",John Walker lived in India.,Charles Francis Richter lived in India.,0,0,FF,and,BA,0,-2.1015124909062006,-12.58175466948803,8.398538265599653
element_symb,"element_symb::[""Lead"",""Lithium""]",Lithium has the symbol Rh.,Lead has the symbol Er.,0,0,FF,or,AB,0,-11.263793714049646,-13.17980722882122,-7.268785353734691
element_symb,"element_symb::[""Manganese"",""Terbium""]",Terbium has the symbol Br.,Manganese has the symbol Mn.,0,1,FT,or,BA,1,-14.465547773037914,10.927394907810147,-6.177939059109615
element_symb,"element_symb::[""Antimony"",""Praseodymium""]",Antimony has the symbol Ca.,Praseodymium has the symbol I.,0,0,FF,or,BA,0,-14.318297100268486,-5.426280990045159,-4.049193853691852
sp_en_trans,"sp_en_trans::[""esquina"",""pero""]",The Spanish word 'pero' means 'hot'.,The Spanish word 'esquina' means 'corner'.,0,1,FT,or,AB,1,-13.636863285738402,7.511803574619902,3.098976981927727
inventors,"inventors::[""Arthur Fry"",""Édouard-Léon Scott de Martinville""]",Édouard-Léon Scott de Martinville lived in Poland/Germany.,Arthur Fry lived in the U.S.,0,1,FT,or,BA,1,-7.695376974449831,4.570980105788822,-0.7057400034412193
element_symb,"element_symb::[""Gallium"",""Molybdenum""]",Gallium has the symbol Ga.,Molybdenum has the symbol Mo.,1,1,TT,and,AB,1,7.2294839685353205,9.822906036428567,5.217734091634654
element_symb,"element_symb::[""Radon"",""Scandium""]",Scandium has the symbol Sc.,Radon has the symbol Np.,1,0,TF,and,AB,0,9.081474521278238,-13.891453870444446,-7.389156618699799
sp_en_trans,"sp_en_trans::[""cabeza"",""lento""]",The Spanish word 'lento' means 'cook'.,The Spanish word 'cabeza' means 'head'.,0,1,FT,or,BA,1,-12.392885094049378,6.7485605045847645,-5.701575702508402
cities,"cities::[""Gaziantep"",""Quito""]",The city of Gaziantep is in Turkey.,The city of Quito is in France.,1,0,TF,and,AB,0,11.459774181206281,-11.838872582540512,-0.6184394172888172
inventors,"inventors::[""Edouard Benedictus"",""Evangelista Torricelli""]",Edouard Benedictus lived in England.,Evangelista Torricelli lived in Italy.,0,1,FT,and,AB,0,-7.9413458468144835,13.381691503383966,14.890220419410767
cities,"cities::[""Gaziantep"",""Quito""]",The city of Gaziantep is in Turkey.,The city of Quito is in Ecuador.,1,1,TT,and,BA,1,11.459774181206281,10.559725693798361,9.945016486285539
cities,"cities::[""Klang"",""Paranaque City""]",The city of Paranaque City is in the Philippines.,The city of Klang is in Malaysia.,1,1,TT,or,AB,1,12.443239303304384,10.145693552387533,1.768814083030355
sp_en_trans,"sp_en_trans::[""bosque"",""huevo""]",The Spanish word 'bosque' means 'forest'.,The Spanish word 'huevo' means 'sister'.,1,0,TF,and,AB,0,8.735093589327303,-13.845558586562193,-3.4785460345657206
sp_en_trans,"sp_en_trans::[""boca"",""uno""]",The Spanish word 'boca' means 'mouth'.,The Spanish word 'uno' means 'mouth'.,1,0,TF,and,AB,0,10.517797423193965,-9.960576271233323,-6.168183641516624
animal_class,"animal_class::[""otter"",""penguin""]",The otter is a mammal.,The penguin is a reptile.,1,0,TF,or,BA,1,13.646156963864135,-10.804268476167474,-1.0736970391537515
cities,"cities::[""Khulna"",""Osaka""]",The city of Osaka is in Japan.,The city of Khulna is in Nigeria.,1,0,TF,or,BA,1,11.498859994734687,-14.410897604715691,-0.7367469598391718
animal_class,"animal_class::[""axolotl"",""horse""]",The horse is a fish.,The axolotl is a fish.,0,0,FF,or,BA,0,-11.493553168034014,-9.149868812763545,0.5162051399658871
sp_en_trans,"sp_en_trans::[""enviar"",""hombro""]",The Spanish word 'hombro' means 'map'.,The Spanish word 'enviar' means 'city'.,0,0,FF,and,BA,0,-17.14440612106371,-16.00227650971439,0.4606939204179046
element_symb,"element_symb::[""Holmium"",""Praseodymium""]",Holmium has the symbol Ho.,Praseodymium has the symbol I.,1,0,TF,or,BA,1,6.650568301371496,-5.426280990045159,0.5438216633496307
animal_class,"animal_class::[""deer"",""iguana""]",The iguana is a reptile.,The deer is a reptile.,1,0,TF,or,AB,1,16.639811050985053,-10.614595265320132,3.5087607180811373
animal_class,"animal_class::[""otter"",""rabbit""]",The rabbit is a mammal.,The otter is a arachnid.,1,0,TF,or,BA,1,11.537853547315578,-11.778654169389055,0.9378664726795538
inventors,"inventors::[""Chester Carlson"",""Ignazio Porro""]",Ignazio Porro lived in Austria/the U.S.,Chester Carlson lived in Poland/Germany.,0,0,FF,or,AB,0,-5.363068287490863,-12.01862698268222,1.3032853712176777
inventors,"inventors::[""Georges Claude"",""Henry Bessemer""]",Henry Bessemer lived in Italy.,Georges Claude lived in Sweden/the U.S.,0,0,FF,and,BA,0,-12.577443697942547,-8.24420105693986,-2.932006379731618
cities,"cities::[""Nagoya"",""Siping""]",The city of Siping is in the United States.,The city of Nagoya is in Japan.,0,1,FT,or,AB,1,-6.969439851501244,11.259830749379546,1.8919188067046502
inventors,"inventors::[""Charles Macintosh"",""James Watt""]",Charles Macintosh lived in Japan.,James Watt lived in Finland.,0,0,FF,or,BA,0,-13.541899465293968,-10.87972775435811,-2.3058905203534454
animal_class,"animal_class::[""camel"",""moose""]",The moose is a reptile.,The camel is a mammal.,0,1,FT,or,BA,1,-9.306349592424128,11.362429296063494,1.4563100800086648
