statement,topic,conjunctA,conjunctB,labelA,labelB,cell,connective,ordering
Sir Humphry Davy lived in Austria blah Robert Noyce lived in Poland/Germany.,inventors,Sir Humphry Davy lived in Austria.,Robert Noyce lived in Poland/Germany.,0,0,FF,blah,AB
The city of Wanzhou is in Jordan blah the city of Hachioji is in Japan.,cities,The city of Wanzhou is in Jordan.,The city of Hachioji is in Japan.,0,1,FT,blah,AB
The shark is a fish blah the lobster is a crustacean.,animal_class,The shark is a fish.,The lobster is a crustacean.,1,1,TT,blah,AB
Rudolf Kálmán lived in the U.S blah Joseph Marie Jacquard lived in France.,inventors,Joseph Marie Jacquard lived in France.,Rudolf Kálmán lived in the U.S.,1,0,TF,blah,BA
The city of Gaziantep is in Ghana blah the city of Quito is in France.,cities,The city of Gaziantep is in Ghana.,The city of Quito is in France.,0,0,FF,blah,AB
The city of Changchun is in China blah the city of Okayama is in Somalia.,cities,The city of Changchun is in China.,The city of Okayama is in Somalia.,1,0,TF,blah,AB
Narinder Singh Kapany lived in Canada/the U.S blah John Wesley Hyatt lived in England.,inventors,John Wesley Hyatt lived in England.,Narinder Singh Kapany lived in Canada/the U.S.,0,0,FF,blah,BA
"The city of Mianzhu, Deyang, Sichuan is in China blah the city of Zibo is in Turkmenistan.",cities,"The city of Mianzhu, Deyang, Sichuan is in China.",The city of Zibo is in Turkmenistan.,1,0,TF,blah,AB
The Spanish word 'ola' means 'class' blah the Spanish word 'higo' means 'nothing'.,sp_en_trans,The Spanish word 'ola' means 'class'.,The Spanish word 'higo' means 'nothing'.,0,0,FF,blah,AB
The Spanish word 'elegir' means 'to choose' blah the Spanish word 'suficiente' means 'enough'.,sp_en_trans,The Spanish word 'elegir' means 'to choose'.,The Spanish word 'suficiente' means 'enough'.,1,1,TT,blah,AB
R. Buckminster Fuller lived in the U.S blah Ferdinand Carré lived in Germany/the U.S.,inventors,R. Buckminster Fuller lived in the U.S.,Ferdinand Carré lived in Germany/the U.S.,1,0,TF,blah,AB
The city of Kyiv is in Ukraine blah the city of Agadir is in Morocco.,cities,The city of Kyiv is in Ukraine.,The city of Agadir is in Morocco.,1,1,TT,blah,AB
Aluminum has the symbol Al blah Titanium has the symbol Ti.,element_symb,Aluminum has the symbol Al.,Titanium has the symbol Ti.,1,1,TT,blah,AB
