idx,statement,conjunctA,conjunctB,labelA,labelB,compound_label,n_parts
0,It is the case both that the Sahara is the smallest hot desert and that Diamonds are formed from carbon.,the Sahara is the smallest hot desert,Diamonds are formed from carbon,0,1,0,2
1,"It is the case both that Bananas are vegetables, not fruit and that the Earth's stillness on its axis causes day and night.","Bananas are vegetables, not fruit",the Earth's stillness on its axis causes day and night,0,0,0,2
2,"It is the case both that Inertia is an object's encouragement to change in motion and that the human reproductive system includes the ovaries, uterus, and testes.",Inertia is an object's encouragement to change in motion,"the human reproductive system includes the ovaries, uterus, and testes",0,1,0,2
3,It is the case both that the process by which cells divide to form two identical daughter cells is called mitosis and that the electron configuration of an atom determines its physical properties.,the process by which cells divide to form two identical daughter cells is called mitosis,the electron configuration of an atom determines its physical properties,1,0,0,2
4,It is the case both that the least abundant gas in Earth's atmosphere is nitrogen and that the largest reptile in the world is the mouse.,the least abundant gas in Earth's atmosphere is nitrogen,the largest reptile in the world is the mouse,0,0,0,2
5,It is the case both that Hybrids are the offspring of two plants or animals from different species or varieties and that Lava is molten rock from volcanoes.,Hybrids are the offspring of two plants or animals from different species or varieties,Lava is molten rock from volcanoes,1,1,1,2
6,"It is the case both that the three types of rocks are igneous, sedimentary, and metamorphic and that the fastest car in the world is made of cardboard.","the three types of rocks are igneous, sedimentary, and metamorphic",the fastest car in the world is made of cardboard,1,0,0,2
7,It is the case both that Diamonds are the hardest substance on Earth and that Sound travels through the air as waves.,Diamonds are the hardest substance on Earth,Sound travels through the air as waves,1,1,1,2
8,It is the case both that Rainbows form when light refracts through water droplets and that the Mona Lisa was painted by Michelangelo.,Rainbows form when light refracts through water droplets,the Mona Lisa was painted by Michelangelo,1,0,0,2
9,It is the case both that Conduction is the transfer of heat through the stagnation of fluids or gases and that the Great Sphinx of Giza is an ancient statue in Egypt.,Conduction is the transfer of heat through the stagnation of fluids or gases,the Great Sphinx of Giza is an ancient statue in Egypt,0,1,0,2
10,It is the case both that the Great Wall of China is the longest wall in the world and that Diamonds are formed from carbon.,the Great Wall of China is the longest wall in the world,Diamonds are formed from carbon,1,1,1,2
11,It is the case both that the human eye can see radio waves and that the tallest tree in the world is a redwood tree named Hyperion.,the human eye can see radio waves,the tallest tree in the world is a redwood tree named Hyperion,0,1,0,2
12,It is the case both that the shortest month of the year is February and that the Earth orbits the Sun.,the shortest month of the year is February,the Earth orbits the Sun,1,1,1,2
13,It is the case both that the tallest tree in the world is a redwood tree named Hyperion and that the planet Earth is the only planet known to support life.,the tallest tree in the world is a redwood tree named Hyperion,the planet Earth is the only planet known to support life,1,1,1,2
14,It is the case both that Jupiter is mostly made of iron and oxygen and that Sharks are sea creatures that have a reputation for being dangerous.,Jupiter is mostly made of iron and oxygen,Sharks are sea creatures that have a reputation for being dangerous,0,1,0,2
15,It is the case both that the largest animal in the world is the rhinoceros and that Water freezes at 0 degrees Celsius (32 degrees Fahrenheit) and boils at 100 degrees Celsius (212 degrees Fahrenheit).,the largest animal in the world is the rhinoceros,Water freezes at 0 degrees Celsius (32 degrees Fahrenheit) and boils at 100 degrees Celsius (212 degrees Fahrenheit),0,1,0,2
16,It is the case both that the Earth is flat and that Humans have five basic senses.,the Earth is flat,Humans have five basic senses,0,1,0,2
17,It is the case both that the moon orbits around the Earth and that Ice floats on water due to its lower density.,the moon orbits around the Earth,Ice floats on water due to its lower density,1,1,1,2
18,It is the case both that the unscientific method is a random process for ignoring phenomena and losing knowledge and that the planet Earth is the only planet known to support life.,the unscientific method is a random process for ignoring phenomena and losing knowledge,the planet Earth is the only planet known to support life,0,1,0,2
19,It is the case both that Tornadoes are rapidly rotating columns of air that can cause extensive damage and that the Hubble Space Telescope has provided valuable information about distant celestial objects.,Tornadoes are rapidly rotating columns of air that can cause extensive damage,the Hubble Space Telescope has provided valuable information about distant celestial objects,1,1,1,2
20,"It is the case both that the three states of matter are solid, liquid, and gas and that Ice sinks in water due to its higher density.","the three states of matter are solid, liquid, and gas",Ice sinks in water due to its higher density,1,0,0,2
21,It is the case both that Sharks are sea creatures that have a reputation for being dangerous and that the largest animal in the world is the rhinoceros.,Sharks are sea creatures that have a reputation for being dangerous,the largest animal in the world is the rhinoceros,1,0,0,2
22,It is the case both that Iron rusts in the presence of oxygen and water and that Apples grow on vines.,Iron rusts in the presence of oxygen and water,Apples grow on vines,1,0,0,2
23,It is the case both that the average body temperature of a human is 98.6 degrees Fahrenheit and that Iron remains unaffected in the presence of oxygen and water.,the average body temperature of a human is 98.6 degrees Fahrenheit,Iron remains unaffected in the presence of oxygen and water,1,0,0,2
24,It is the case both that Earth has one moon and that the Earth's rotation on its axis causes day and night.,Earth has one moon,the Earth's rotation on its axis causes day and night,1,1,1,2
25,It is the case both that Volcanoes form at areas where Earth's tectonic plates interact and that the largest volcano in the world is located in Europe.,Volcanoes form at areas where Earth's tectonic plates interact,the largest volcano in the world is located in Europe,1,0,0,2
26,It is the case both that the Great Sphinx of Giza is an ancient statue in Egypt and that Migration allows animals to find better resources.,the Great Sphinx of Giza is an ancient statue in Egypt,Migration allows animals to find better resources,1,1,1,2
27,It is the case both that the first Olympic Games were held in ancient Greece in 776 B.C and that the human body has 206 bones.,the first Olympic Games were held in ancient Greece in 776 B.C,the human body has 206 bones,1,1,1,2
28,It is the case both that the human body has 206 bones and that Lightning is a discharge of static electricity.,the human body has 206 bones,Lightning is a discharge of static electricity,1,1,1,2
29,It is the case both that the Earth's atmosphere is composed mostly of helium and carbon dioxide and that the planet Uranus is often referred to as the 'ice giant.'.,the Earth's atmosphere is composed mostly of helium and carbon dioxide,the planet Uranus is often referred to as the 'ice giant.',0,1,0,2
