idx,statement,subject,disjunctA_obj,disjunctB_obj,labelA,labelB,compound_label,n_parts
0,It is the case either that Xenon has the symbol Cr or that it has the symbol F.,Xenon,Cr,F,0,0,0,2
1,It is the case either that Niobium has the symbol Nb or that it has the symbol Cl.,Niobium,Nb,Cl,1,0,1,2
2,It is the case either that Calcium has the symbol Ba or that it has the symbol P.,Calcium,Ba,P,0,0,0,2
3,It is the case either that Platinum has the symbol Pd or that it has the symbol La.,Platinum,Pd,La,0,0,0,2
4,It is the case either that Tungsten has the symbol B or that it has the symbol Zr.,Tungsten,B,Zr,0,0,0,2
5,It is the case either that Molybdenum has the symbol Mo or that it has the symbol In.,Molybdenum,Mo,In,1,0,1,2
6,It is the case either that Thallium has the symbol Tl or that it has the symbol Co.,Thallium,Tl,Co,1,0,1,2
7,It is the case either that Carbon has the symbol C or that it has the symbol Cs.,Carbon,C,Cs,1,0,1,2
8,It is the case either that Calcium has the symbol P or that it has the symbol Eu.,Calcium,P,Eu,0,0,0,2
9,It is the case either that Cobalt has the symbol Sc or that it has the symbol Lu.,Cobalt,Sc,Lu,0,0,0,2
10,It is the case either that Lanthanum has the symbol Po or that it has the symbol Ba.,Lanthanum,Po,Ba,0,0,0,2
11,It is the case either that Osmium has the symbol Np or that it has the symbol Os.,Osmium,Np,Os,0,1,1,2
12,It is the case either that Thallium has the symbol P or that it has the symbol Tl.,Thallium,P,Tl,0,1,1,2
13,It is the case either that Technetium has the symbol B or that it has the symbol Ag.,Technetium,B,Ag,0,0,0,2
14,It is the case either that Cesium has the symbol Cr or that it has the symbol Tc.,Cesium,Cr,Tc,0,0,0,2
15,It is the case either that Scandium has the symbol Sc or that it has the symbol Pt.,Scandium,Sc,Pt,1,0,1,2
16,It is the case either that Yttrium has the symbol Dy or that it has the symbol U.,Yttrium,Dy,U,0,0,0,2
17,It is the case either that Zinc has the symbol Fr or that it has the symbol P.,Zinc,Fr,P,0,0,0,2
18,It is the case either that Neptunium has the symbol Na or that it has the symbol Tl.,Neptunium,Na,Tl,0,0,0,2
19,It is the case either that Carbon has the symbol C or that it has the symbol Au.,Carbon,C,Au,1,0,1,2
20,It is the case either that Silver has the symbol Ag or that it has the symbol Sr.,Silver,Ag,Sr,1,0,1,2
21,It is the case either that Palladium has the symbol As or that it has the symbol Nd.,Palladium,As,Nd,0,0,0,2
22,It is the case either that Ytterbium has the symbol Mo or that it has the symbol Nd.,Ytterbium,Mo,Nd,0,0,0,2
23,It is the case either that Europium has the symbol Au or that it has the symbol Ga.,Europium,Au,Ga,0,0,0,2
24,It is the case either that Iron has the symbol Fe or that it has the symbol As.,Iron,Fe,As,1,0,1,2
25,It is the case either that Hydrogen has the symbol Cr or that it has the symbol Pt.,Hydrogen,Cr,Pt,0,0,0,2
26,It is the case either that Cadmium has the symbol Np or that it has the symbol Ir.,Cadmium,Np,Ir,0,0,0,2
27,It is the case either that Beryllium has the symbol Be or that it has the symbol Si.,Beryllium,Be,Si,1,0,1,2
28,It is the case either that Manganese has the symbol Gd or that it has the symbol Sr.,Manganese,Gd,Sr,0,0,0,2
29,It is the case either that Iridium has the symbol Au or that it has the symbol Fe.,Iridium,Au,Fe,0,0,0,2
30,It is the case either that Europium has the symbol Eu or that it has the symbol Tm.,Europium,Eu,Tm,1,0,1,2
31,It is the case either that Chlorine has the symbol Ag or that it has the symbol Cl.,Chlorine,Ag,Cl,0,1,1,2
32,It is the case either that Tungsten has the symbol Sr or that it has the symbol W.,Tungsten,Sr,W,0,1,1,2
33,It is the case either that Lutetium has the symbol Be or that it has the symbol La.,Lutetium,Be,La,0,0,0,2
34,It is the case either that Rhenium has the symbol Re or that it has the symbol Ne.,Rhenium,Re,Ne,1,0,1,2
35,It is the case either that Uranium has the symbol Re or that it has the symbol Co.,Uranium,Re,Co,0,0,0,2
36,It is the case either that Dysprosium has the symbol U or that it has the symbol Rh.,Dysprosium,U,Rh,0,0,0,2
37,It is the case either that Neodymium has the symbol Zn or that it has the symbol Ac.,Neodymium,Zn,Ac,0,0,0,2
38,It is the case either that Ytterbium has the symbol Yb or that it has the symbol Pa.,Ytterbium,Yb,Pa,1,0,1,2
39,It is the case either that Iodine has the symbol Nb or that it has the symbol K.,Iodine,Nb,K,0,0,0,2
40,It is the case either that Arsenic has the symbol As or that it has the symbol Pt.,Arsenic,As,Pt,1,0,1,2
41,It is the case either that Molybdenum has the symbol Os or that it has the symbol Np.,Molybdenum,Os,Np,0,0,0,2
42,It is the case either that Actinium has the symbol Yb or that it has the symbol Ar.,Actinium,Yb,Ar,0,0,0,2
43,It is the case either that Cesium has the symbol Tc or that it has the symbol N.,Cesium,Tc,N,0,0,0,2
44,It is the case either that Bismuth has the symbol Bi or that it has the symbol Ba.,Bismuth,Bi,Ba,1,0,1,2
45,It is the case either that Carbon has the symbol C or that it has the symbol Co.,Carbon,C,Co,1,0,1,2
46,It is the case either that Krypton has the symbol Kr or that it has the symbol Li.,Krypton,Kr,Li,1,0,1,2
47,It is the case either that Carbon has the symbol In or that it has the symbol Nb.,Carbon,In,Nb,0,0,0,2
48,It is the case either that Zirconium has the symbol Zr or that it has the symbol Na.,Zirconium,Zr,Na,1,0,1,2
49,It is the case either that Iridium has the symbol Fe or that it has the symbol Kr.,Iridium,Fe,Kr,0,0,0,2
50,It is the case either that Bromine has the symbol Ce or that it has the symbol Mo.,Bromine,Ce,Mo,0,0,0,2
51,It is the case either that Terbium has the symbol Tb or that it has the symbol He.,Terbium,Tb,He,1,0,1,2
52,It is the case either that Selenium has the symbol As or that it has the symbol Se.,Selenium,As,Se,0,1,1,2
53,It is the case either that Strontium has the symbol Be or that it has the symbol Sr.,Strontium,Be,Sr,0,1,1,2
54,It is the case either that Samarium has the symbol Sm or that it has the symbol Co.,Samarium,Sm,Co,1,0,1,2
55,It is the case either that Radon has the symbol Re or that it has the symbol H.,Radon,Re,H,0,0,0,2
56,It is the case either that Lead has the symbol Pb or that it has the symbol Na.,Lead,Pb,Na,1,0,0,2
57,It is the case either that Hydrogen has the symbol H or that it has the symbol Tb.,Hydrogen,H,Tb,1,0,1,2
58,It is the case either that Iron has the symbol Tl or that it has the symbol Hf.,Iron,Tl,Hf,0,0,0,2
59,It is the case either that Neon has the symbol S or that it has the symbol Lu.,Neon,S,Lu,0,0,0,2
60,It is the case either that Sodium has the symbol Sb or that it has the symbol Na.,Sodium,Sb,Na,0,1,1,2
61,It is the case either that Palladium has the symbol Nd or that it has the symbol Sm.,Palladium,Nd,Sm,0,0,0,2
62,It is the case either that Osmium has the symbol Ag or that it has the symbol Rn.,Osmium,Ag,Rn,0,0,0,2
63,It is the case either that Chlorine has the symbol Cl or that it has the symbol O.,Chlorine,Cl,O,1,0,1,2
