r1_row_index,topic,entity_pair_id,statement,conjunctA,conjunctB,labelA,labelB,cell,connective,ordering,global_truth,frozen_atomic_score,compound_trained_score
2,element_symb,"element_symb::[""Copper"",""Nitrogen""]",Copper has the symbol Cu and Nitrogen has the symbol N.,Nitrogen has the symbol N.,Copper has the symbol Cu.,1,1,TT,AND,BA,1,10.136993959636662,15.201909828887121
14,element_symb,"element_symb::[""Antimony"",""Praseodymium""]",Praseodymium has the symbol I or Antimony has the symbol Ca.,Antimony has the symbol Ca.,Praseodymium has the symbol I.,0,0,FF,OR,BA,0,-6.777862488098436,-5.716580236727825
17,element_symb,"element_symb::[""Gallium"",""Molybdenum""]",Gallium has the symbol Ga and Molybdenum has the symbol Mo.,Gallium has the symbol Ga.,Molybdenum has the symbol Mo.,1,1,TT,AND,AB,1,7.997167937657288,9.890660835118691
19,sp_en_trans,"sp_en_trans::[""cabeza"",""lento""]",The Spanish word 'cabeza' means 'head' or the Spanish word 'lento' means 'cook'.,The Spanish word 'lento' means 'cook'.,The Spanish word 'cabeza' means 'head'.,0,1,FT,OR,BA,1,-10.992332544044656,4.2442358759374255
33,inventors,"inventors::[""Chester Carlson"",""Ignazio Porro""]",Ignazio Porro lived in Austria/the U.S or Chester Carlson lived in Poland/Germany.,Ignazio Porro lived in Austria/the U.S.,Chester Carlson lived in Poland/Germany.,0,0,FF,OR,AB,0,3.230414666827544,-4.656408574667828
47,sp_en_trans,"sp_en_trans::[""invierno"",""mar""]",The Spanish word 'invierno' means 'family' or the Spanish word 'mar' means 'to save'.,The Spanish word 'invierno' means 'family'.,The Spanish word 'mar' means 'to save'.,0,0,FF,OR,AB,0,-11.7529704550341,-8.476041074191357
54,cities,"cities::[""Qujing"",""Ufa""]",The city of Ufa is in Italy or the city of Qujing is in Yemen.,The city of Ufa is in Italy.,The city of Qujing is in Yemen.,0,0,FF,OR,AB,0,2.978885590782842,-6.909445262067513
62,inventors,"inventors::[""Linus Torvalds"",""Paul Gottlieb Nipkow""]",Linus Torvalds lived in Canada/the U.S or Paul Gottlieb Nipkow lived in Norway.,Linus Torvalds lived in Canada/the U.S.,Paul Gottlieb Nipkow lived in Norway.,0,0,FF,OR,AB,0,3.5820430893940935,-3.0056438053970305
63,inventors,"inventors::[""Daisuke Inoue"",""Hans von Ohain""]",Hans von Ohain lived in Germany or Daisuke Inoue lived in Japan.,Daisuke Inoue lived in Japan.,Hans von Ohain lived in Germany.,1,1,TT,OR,BA,1,5.2040694643304715,17.649070737434748
65,element_symb,"element_symb::[""Phosphorus"",""Praseodymium""]",Phosphorus has the symbol P and Praseodymium has the symbol Pr.,Phosphorus has the symbol P.,Praseodymium has the symbol Pr.,1,1,TT,AND,AB,1,4.7459406171847975,6.695007417837658
