topic,entity_pair_id,conjunctA,conjunctB,ordering,cell,labelA,labelB,and_row_index,or_row_index,and_statement,or_statement,score_and,score_or,delta_OR_AND,template_diff_token_index,template_only_connective_diff
sp_en_trans,"sp_en_trans::[""bueno"",""historia""]",The Spanish word 'historia' means 'history'.,The Spanish word 'bueno' means 'good'.,AB,TT,1,1,492,7346,The Spanish word 'historia' means 'history' and the Spanish word 'bueno' means 'good'.,The Spanish word 'historia' means 'history' or the Spanish word 'bueno' means 'good'.,9.100908819395308,5.831831930535957,-3.2690768888593507,6,True
sp_en_trans,"sp_en_trans::[""bueno"",""historia""]",The Spanish word 'historia' means 'history'.,The Spanish word 'bueno' means 'modern'.,AB,TF,1,0,5262,3482,The Spanish word 'historia' means 'history' and the Spanish word 'bueno' means 'modern'.,The Spanish word 'historia' means 'history' or the Spanish word 'bueno' means 'modern'.,-0.5055844775099079,-5.271008049260654,-4.7654235717507465,6,True
sp_en_trans,"sp_en_trans::[""bueno"",""historia""]",The Spanish word 'historia' means 'stone'.,The Spanish word 'bueno' means 'good'.,AB,FT,0,1,6308,4278,The Spanish word 'historia' means 'stone' and the Spanish word 'bueno' means 'good'.,The Spanish word 'historia' means 'stone' or the Spanish word 'bueno' means 'good'.,3.6485628470610454,-0.847962043219475,-4.49652489028052,6,True
sp_en_trans,"sp_en_trans::[""bueno"",""historia""]",The Spanish word 'historia' means 'stone'.,The Spanish word 'bueno' means 'modern'.,AB,FF,0,0,148,7577,The Spanish word 'historia' means 'stone' and the Spanish word 'bueno' means 'modern'.,The Spanish word 'historia' means 'stone' or the Spanish word 'bueno' means 'modern'.,-3.045411188412988,-7.394823078255701,-4.349411889842713,6,True
sp_en_trans,"sp_en_trans::[""aceite"",""libre""]",The Spanish word 'libre' means 'free'.,The Spanish word 'aceite' means 'oil'.,AB,TT,1,1,2457,4960,The Spanish word 'libre' means 'free' and the Spanish word 'aceite' means 'oil'.,The Spanish word 'libre' means 'free' or the Spanish word 'aceite' means 'oil'.,8.524545508527673,4.749886894697956,-3.7746586138297173,6,True
sp_en_trans,"sp_en_trans::[""aceite"",""libre""]",The Spanish word 'libre' means 'free'.,The Spanish word 'aceite' means 'son'.,AB,TF,1,0,3941,954,The Spanish word 'libre' means 'free' and the Spanish word 'aceite' means 'son'.,The Spanish word 'libre' means 'free' or the Spanish word 'aceite' means 'son'.,-3.9928764949017346,-6.057422798369924,-2.0645463034681892,6,True
sp_en_trans,"sp_en_trans::[""aceite"",""libre""]",The Spanish word 'libre' means 'soldier'.,The Spanish word 'aceite' means 'oil'.,AB,FT,0,1,1299,4888,The Spanish word 'libre' means 'soldier' and the Spanish word 'aceite' means 'oil'.,The Spanish word 'libre' means 'soldier' or the Spanish word 'aceite' means 'oil'.,6.214497885811166,1.8239607832491984,-4.390537102561968,6,True
sp_en_trans,"sp_en_trans::[""aceite"",""libre""]",The Spanish word 'libre' means 'soldier'.,The Spanish word 'aceite' means 'son'.,AB,FF,0,0,6440,1869,The Spanish word 'libre' means 'soldier' and the Spanish word 'aceite' means 'son'.,The Spanish word 'libre' means 'soldier' or the Spanish word 'aceite' means 'son'.,-1.5447661251761868,-7.526546695505688,-5.9817805703295015,6,True
inventors,"inventors::[""Candace Pert"",""Clarence Birdseye""]",Clarence Birdseye lived in the U.S.,Candace Pert lived in the U.S.,AB,TT,1,1,3782,510,Clarence Birdseye lived in the U.S and Candace Pert lived in the U.S.,Clarence Birdseye lived in the U.S or Candace Pert lived in the U.S.,14.636491624031429,8.297425650788785,-6.3390659732426435,6,True
inventors,"inventors::[""Candace Pert"",""Clarence Birdseye""]",Clarence Birdseye lived in the U.S.,Candace Pert lived in Germany.,AB,TF,1,0,286,2815,Clarence Birdseye lived in the U.S and Candace Pert lived in Germany.,Clarence Birdseye lived in the U.S or Candace Pert lived in Germany.,6.194293851983412,-0.4141865143583345,-6.608480366341746,6,True
inventors,"inventors::[""Candace Pert"",""Clarence Birdseye""]",Clarence Birdseye lived in Croatia.,Candace Pert lived in the U.S.,AB,FT,0,1,1630,5581,Clarence Birdseye lived in Croatia and Candace Pert lived in the U.S.,Clarence Birdseye lived in Croatia or Candace Pert lived in the U.S.,9.18985182561586,6.140332307967096,-3.049519517648763,5,True
inventors,"inventors::[""Candace Pert"",""Clarence Birdseye""]",Clarence Birdseye lived in Croatia.,Candace Pert lived in Germany.,AB,FF,0,0,5937,3699,Clarence Birdseye lived in Croatia and Candace Pert lived in Germany.,Clarence Birdseye lived in Croatia or Candace Pert lived in Germany.,7.947144627492352,1.6685647499104084,-6.278579877581944,5,True
element_symb,"element_symb::[""Gallium"",""Scandium""]",Gallium has the symbol Ga.,Scandium has the symbol Sc.,AB,TT,1,1,4607,198,Gallium has the symbol Ga and Scandium has the symbol Sc.,Gallium has the symbol Ga or Scandium has the symbol Sc.,6.83958805931065,1.5507758020805893,-5.28881225723006,5,True
element_symb,"element_symb::[""Gallium"",""Scandium""]",Gallium has the symbol Ga.,Scandium has the symbol Kr.,AB,TF,1,0,3938,5280,Gallium has the symbol Ga and Scandium has the symbol Kr.,Gallium has the symbol Ga or Scandium has the symbol Kr.,-7.455088882051514,-5.41879658171259,2.036292300338925,5,True
element_symb,"element_symb::[""Gallium"",""Scandium""]",Gallium has the symbol Pb.,Scandium has the symbol Sc.,AB,FT,0,1,3090,4895,Gallium has the symbol Pb and Scandium has the symbol Sc.,Gallium has the symbol Pb or Scandium has the symbol Sc.,-2.854673706993962,-0.9575150237772334,1.8971586832167286,5,True
element_symb,"element_symb::[""Gallium"",""Scandium""]",Gallium has the symbol Pb.,Scandium has the symbol Kr.,AB,FF,0,0,7890,6012,Gallium has the symbol Pb and Scandium has the symbol Kr.,Gallium has the symbol Pb or Scandium has the symbol Kr.,-6.201921237809595,-4.996566808196686,1.2053544296129086,5,True
cities,"cities::[""Ganzhou"",""Yaounde""]",The city of Ganzhou is in China.,The city of Yaounde is in Cameroon.,AB,TT,1,1,2753,2081,The city of Ganzhou is in China and the city of Yaounde is in Cameroon.,The city of Ganzhou is in China or the city of Yaounde is in Cameroon.,13.876197262425968,4.889223819519417,-8.986973442906551,7,True
cities,"cities::[""Ganzhou"",""Yaounde""]",The city of Ganzhou is in China.,The city of Yaounde is in Finland.,AB,TF,1,0,3862,7241,The city of Ganzhou is in China and the city of Yaounde is in Finland.,The city of Ganzhou is in China or the city of Yaounde is in Finland.,2.2095877714351397,0.8430850931038378,-1.366502678331302,7,True
cities,"cities::[""Ganzhou"",""Yaounde""]",The city of Ganzhou is in Tanzania.,The city of Yaounde is in Cameroon.,AB,FT,0,1,4003,3290,The city of Ganzhou is in Tanzania and the city of Yaounde is in Cameroon.,The city of Ganzhou is in Tanzania or the city of Yaounde is in Cameroon.,4.493079388667475,-1.9694938033003293,-6.462573191967804,7,True
cities,"cities::[""Ganzhou"",""Yaounde""]",The city of Ganzhou is in Tanzania.,The city of Yaounde is in Finland.,AB,FF,0,0,7625,1702,The city of Ganzhou is in Tanzania and the city of Yaounde is in Finland.,The city of Ganzhou is in Tanzania or the city of Yaounde is in Finland.,-2.1939857701132635,-0.6298175378154305,1.564168232297833,7,True
animal_class,"animal_class::[""cassowary"",""skunk""]",The skunk is a mammal.,The cassowary is a bird.,AB,TT,1,1,1405,5218,The skunk is a mammal and the cassowary is a bird.,The skunk is a mammal or the cassowary is a bird.,12.863894739756423,9.241407726841764,-3.622487012914659,5,True
animal_class,"animal_class::[""cassowary"",""skunk""]",The skunk is a mammal.,The cassowary is a amphibian.,AB,TF,1,0,7833,1049,The skunk is a mammal and the cassowary is a amphibian.,The skunk is a mammal or the cassowary is a amphibian.,3.5999802949274127,5.2433648625723785,1.6433845676449659,5,True
animal_class,"animal_class::[""cassowary"",""skunk""]",The skunk is a insect.,The cassowary is a bird.,AB,FT,0,1,1900,5303,The skunk is a insect and the cassowary is a bird.,The skunk is a insect or the cassowary is a bird.,8.322357338009162,3.3313207638108215,-4.991036574198341,5,True
animal_class,"animal_class::[""cassowary"",""skunk""]",The skunk is a insect.,The cassowary is a amphibian.,AB,FF,0,0,1650,3861,The skunk is a insect and the cassowary is a amphibian.,The skunk is a insect or the cassowary is a amphibian.,2.888531364395643,2.4577563691384334,-0.4307749952572095,5,True
animal_class,"animal_class::[""bat"",""raccoon""]",The raccoon is a mammal.,The bat is a mammal.,AB,TT,1,1,4199,1402,The raccoon is a mammal and the bat is a mammal.,The raccoon is a mammal or the bat is a mammal.,10.351811103074407,4.200436618130635,-6.151374484943772,5,True
animal_class,"animal_class::[""bat"",""raccoon""]",The raccoon is a mammal.,The bat is a crustacean.,AB,TF,1,0,4912,1657,The raccoon is a mammal and the bat is a crustacean.,The raccoon is a mammal or the bat is a crustacean.,0.831538247373599,5.832819882623843,5.001281635250244,5,True
animal_class,"animal_class::[""bat"",""raccoon""]",The raccoon is a bird.,The bat is a mammal.,AB,FT,0,1,4769,410,The raccoon is a bird and the bat is a mammal.,The raccoon is a bird or the bat is a mammal.,2.642918397039841,-0.2577381165292944,-2.9006565135691353,5,True
animal_class,"animal_class::[""bat"",""raccoon""]",The raccoon is a bird.,The bat is a crustacean.,AB,FF,0,0,6353,6390,The raccoon is a bird and the bat is a crustacean.,The raccoon is a bird or the bat is a crustacean.,-2.998881420156902,0.0479059746106269,3.046787394767529,5,True
cities,"cities::[""Irkutsk"",""Vijayawada""]",The city of Irkutsk is in Russia.,The city of Vijayawada is in India.,AB,TT,1,1,4409,1119,The city of Irkutsk is in Russia and the city of Vijayawada is in India.,The city of Irkutsk is in Russia or the city of Vijayawada is in India.,13.878681575293111,5.708593642212697,-8.170087933080413,7,True
cities,"cities::[""Irkutsk"",""Vijayawada""]",The city of Irkutsk is in Russia.,The city of Vijayawada is in China.,AB,TF,1,0,7399,782,The city of Irkutsk is in Russia and the city of Vijayawada is in China.,The city of Irkutsk is in Russia or the city of Vijayawada is in China.,0.6920486106517112,0.0088206450027463,-0.6832279656489649,7,True
cities,"cities::[""Irkutsk"",""Vijayawada""]",The city of Irkutsk is in Kuwait.,The city of Vijayawada is in India.,AB,FT,0,1,616,2726,The city of Irkutsk is in Kuwait and the city of Vijayawada is in India.,The city of Irkutsk is in Kuwait or the city of Vijayawada is in India.,-1.1005733679275504,2.516554619885097,3.6171279878126477,7,True
cities,"cities::[""Irkutsk"",""Vijayawada""]",The city of Irkutsk is in Kuwait.,The city of Vijayawada is in China.,AB,FF,0,0,4932,1653,The city of Irkutsk is in Kuwait and the city of Vijayawada is in China.,The city of Irkutsk is in Kuwait or the city of Vijayawada is in China.,1.6989446140336837,2.7110794511088656,1.012134837075182,7,True
animal_class,"animal_class::[""panda"",""rat""]",The panda is a mammal.,The rat is a mammal.,AB,TT,1,1,1786,7518,The panda is a mammal and the rat is a mammal.,The panda is a mammal or the rat is a mammal.,12.326625234013402,3.208305348088059,-9.118319885925343,5,True
animal_class,"animal_class::[""panda"",""rat""]",The panda is a mammal.,The rat is a arachnid.,AB,TF,1,0,2075,1395,The panda is a mammal and the rat is a arachnid.,The panda is a mammal or the rat is a arachnid.,0.2373070894731945,-2.634108181014307,-2.8714152704875016,5,True
animal_class,"animal_class::[""panda"",""rat""]",The panda is a bird.,The rat is a mammal.,AB,FT,0,1,5730,5862,The panda is a bird and the rat is a mammal.,The panda is a bird or the rat is a mammal.,-1.829402681641964,-2.075058322284038,-0.245655640642074,5,True
animal_class,"animal_class::[""panda"",""rat""]",The panda is a bird.,The rat is a arachnid.,AB,FF,0,0,3776,2033,The panda is a bird and the rat is a arachnid.,The panda is a bird or the rat is a arachnid.,-6.098672989239924,-1.2575813312738386,4.841091657966086,5,True
animal_class,"animal_class::[""deer"",""kangaroo""]",The kangaroo is a mammal.,The deer is a mammal.,AB,TT,1,1,7598,381,The kangaroo is a mammal and the deer is a mammal.,The kangaroo is a mammal or the deer is a mammal.,12.261955395229258,4.451396498599868,-7.81055889662939,5,True
animal_class,"animal_class::[""deer"",""kangaroo""]",The kangaroo is a mammal.,The deer is a reptile.,AB,TF,1,0,1227,3868,The kangaroo is a mammal and the deer is a reptile.,The kangaroo is a mammal or the deer is a reptile.,1.760276516974404,2.2661794092973153,0.5059028923229114,5,True
animal_class,"animal_class::[""deer"",""kangaroo""]",The kangaroo is a reptile.,The deer is a mammal.,AB,FT,0,1,1212,7121,The kangaroo is a reptile and the deer is a mammal.,The kangaroo is a reptile or the deer is a mammal.,1.3638966478771613,0.6829850248561531,-0.6809116230210082,5,True
animal_class,"animal_class::[""deer"",""kangaroo""]",The kangaroo is a reptile.,The deer is a reptile.,AB,FF,0,0,3115,5895,The kangaroo is a reptile and the deer is a reptile.,The kangaroo is a reptile or the deer is a reptile.,-1.2769537416609111,2.071413412313561,3.348367153974472,5,True
