idx,statement,conjunctA,conjunctB,labelA,labelB,compound_label,n_parts
0,It is the case both that Gottlieb Daimler lived in France and that Hans Berger lived in the U.S.,Gottlieb Daimler / France,Hans Berger / the U.S,0,0,0,2
1,It is the case both that Joseph Swan lived in the U.K and that Clarence Birdseye lived in the U.S.,Joseph Swan / the U.K,Clarence Birdseye / the U.S,1,1,1,2
2,It is the case both that Carlos Glidden lived in Scotland and that Richard Gatling lived in the U.S.,Carlos Glidden / Scotland,Richard Gatling / the U.S,0,1,0,2
3,It is the case both that Henry Bessemer lived in the U.K and that Wallace Carothers lived in the U.S.,Henry Bessemer / the U.K,Wallace Carothers / the U.S,1,1,1,2
4,It is the case both that Elisha Otis lived in the U.S and that Orville and Wilbur Wright lived in the U.S.,Elisha Otis / the U.S,Orville and Wilbur Wright / the U.S,1,1,1,2
5,It is the case both that Henry Ford lived in the U.S and that Arthur Pitney lived in the U.K.,Henry Ford / the U.S,Arthur Pitney / the U.K,1,0,0,2
6,It is the case both that Frederick G. Creed lived in Sweden and that Orville and Wilbur Wright lived in the U.S.,Frederick G. Creed / Sweden,Orville and Wilbur Wright / the U.S,0,1,0,2
7,It is the case both that Hans Goldschmidt lived in Germany and that Georges Claude lived in France.,Hans Goldschmidt / Germany,Georges Claude / France,1,1,1,2
8,It is the case both that Wallace Carothers lived in the U.S and that Joseph Bramah lived in the U.K.,Wallace Carothers / the U.S,Joseph Bramah / the U.K,1,1,1,2
9,It is the case both that Rudolf Kálmán lived in Hungary and that James Clerk Maxwell lived in the U.K.,Rudolf Kálmán / Hungary,James Clerk Maxwell / the U.K,1,1,1,2
10,It is the case both that Christopher Cockerell lived in France and that Bartolomeo Cristofori lived in the U.S.,Christopher Cockerell / France,Bartolomeo Cristofori / the U.S,0,0,0,2
11,It is the case both that Sir Humphry Davy lived in the U.S and that Ralph H. Baer lived in the U.S.,Sir Humphry Davy / the U.S,Ralph H. Baer / the U.S,0,1,0,2
12,It is the case both that Arthur Pitney lived in the U.S and that Shinya Yamanaka lived in Germany.,Arthur Pitney / the U.S,Shinya Yamanaka / Germany,1,0,0,2
13,It is the case both that Alexander Graham Bell lived in Scotland/Canada/the U.S and that Ferdinand von Zeppelin lived in France.,Alexander Graham Bell / Scotland/Canada/the U.S,Ferdinand von Zeppelin / France,1,0,0,2
14,It is the case both that Joseph Bramah lived in the U.K and that Joseph Bramah lived in the U.K.,Joseph Bramah / the U.K,Joseph Bramah / the U.K,1,1,1,2
15,It is the case both that Arthur Fry lived in France and that Hans Lippershey lived in the Netherlands.,Arthur Fry / France,Hans Lippershey / the Netherlands,0,1,0,2
16,It is the case both that Elisha Gray lived in the U.S and that John von Neumann lived in Hungary/the U.S.,Elisha Gray / the U.S,John von Neumann / Hungary/the U.S,1,1,1,2
17,It is the case both that Willis Carrier lived in the U.S and that Joseph Marie Jacquard lived in France.,Willis Carrier / the U.S,Joseph Marie Jacquard / France,1,1,1,2
18,It is the case both that Valdemar Poulsen lived in Denmark and that Heinrich Göbel lived in Germany.,Valdemar Poulsen / Denmark,Heinrich Göbel / Germany,1,1,1,2
19,It is the case both that Nils Bohlin lived in Sweden and that Blaise Pascal lived in Poland/France.,Nils Bohlin / Sweden,Blaise Pascal / Poland/France,1,0,0,2
20,It is the case both that John von Neumann lived in Hungary/the U.S and that Alfred Nobel lived in Sweden.,John von Neumann / Hungary/the U.S,Alfred Nobel / Sweden,1,1,1,2
21,It is the case both that Frederick G. Creed lived in Sweden and that Valdemar Poulsen lived in Denmark.,Frederick G. Creed / Sweden,Valdemar Poulsen / Denmark,0,1,0,2
22,It is the case both that Herbert Saffir lived in the U.K and that Otis Boykin lived in France.,Herbert Saffir / the U.K,Otis Boykin / France,0,0,0,2
23,It is the case both that Frederick McKinley Jones lived in the U.S and that George Eastman lived in the U.K.,Frederick McKinley Jones / the U.S,George Eastman / the U.K,1,0,0,2
24,It is the case both that John Logie Baird lived in Japan and that Mary Phelps Jacob lived in Ukraine/the U.S.,John Logie Baird / Japan,Mary Phelps Jacob / Ukraine/the U.S,0,0,0,2
25,It is the case both that James Murray Spangler lived in the U.K and that Karl Benz lived in Germany.,James Murray Spangler / the U.K,Karl Benz / Germany,0,1,0,2
26,It is the case both that Sir Frank Whittle lived in the U.K and that James Murray Spangler lived in the U.K.,Sir Frank Whittle / the U.K,James Murray Spangler / the U.K,1,0,0,2
27,It is the case both that James Clerk Maxwell lived in the U.S and that Levi Strauss lived in the U.S.,James Clerk Maxwell / the U.S,Levi Strauss / the U.S,0,1,0,2
28,It is the case both that Luther Simjian lived in Turkey/the U.S and that John Harrison lived in the U.K.,Luther Simjian / Turkey/the U.S,John Harrison / the U.K,1,1,1,2
29,It is the case both that Konrad Zuse lived in Poland/France and that Ralph Benjamin lived in Italy.,Konrad Zuse / Poland/France,Ralph Benjamin / Italy,0,0,0,2
30,It is the case both that George Cayley lived in the U.K and that Evangelista Torricelli lived in Italy.,George Cayley / the U.K,Evangelista Torricelli / Italy,1,1,1,2
31,It is the case both that Charles Francis Richter lived in the U.S and that John Walker lived in the U.K.,Charles Francis Richter / the U.S,John Walker / the U.K,1,1,1,2
32,It is the case both that Guglielmo Marconi lived in Italy and that Nils Bohlin lived in Sweden.,Guglielmo Marconi / Italy,Nils Bohlin / Sweden,1,1,1,2
33,It is the case both that Ferdinand Carré lived in France and that Zhores Alferov lived in the U.K.,Ferdinand Carré / France,Zhores Alferov / the U.K,1,0,0,2
34,It is the case both that Lester Wire lived in the U.S and that August Horch lived in Germany.,Lester Wire / the U.S,August Horch / Germany,1,1,1,2
35,It is the case both that Arthur Fry lived in France and that Pierre Curie lived in France.,Arthur Fry / France,Pierre Curie / France,0,1,0,2
36,It is the case both that Yoshiro Nakamatsu lived in Japan and that John Bardeen lived in the U.S.,Yoshiro Nakamatsu / Japan,John Bardeen / the U.S,1,1,1,2
37,It is the case both that Charles Babbage lived in the U.K and that Charles Tellier lived in France.,Charles Babbage / the U.K,Charles Tellier / France,1,1,1,2
38,It is the case both that Rudolf Diesel lived in Germany and that Richard Trevithick lived in the U.K.,Rudolf Diesel / Germany,Richard Trevithick / the U.K,1,1,1,2
39,It is the case both that George Washington Carver lived in the U.S and that Samuel Morse lived in the U.S.,George Washington Carver / the U.S,Samuel Morse / the U.S,1,1,1,2
40,It is the case both that John Harrison lived in the U.K and that Alexander Fleming lived in the U.K.,John Harrison / the U.K,Alexander Fleming / the U.K,1,1,1,2
41,It is the case both that Clarence Birdseye lived in the U.S and that Karl Landsteiner lived in Austria.,Clarence Birdseye / the U.S,Karl Landsteiner / Austria,1,1,1,2
42,It is the case both that Alec Jeffreys lived in the U.K and that Gustaf Dalén lived in Sweden.,Alec Jeffreys / the U.K,Gustaf Dalén / Sweden,1,1,1,2
43,It is the case both that Edmund Cartwright lived in the U.K and that Daisuke Inoue lived in Japan.,Edmund Cartwright / the U.K,Daisuke Inoue / Japan,1,1,1,2
44,It is the case both that Charles Francis Jenkins lived in the U.S and that Archimedes lived in Ancient Greece.,Charles Francis Jenkins / the U.S,Archimedes / Ancient Greece,1,1,1,2
