idx,statement,subject,disjunctA_obj,disjunctB_obj,labelA,labelB,compound_label,n_parts
0,It is the case either that the Spanish word 'aceite' means 'oil' or that it means 'class'.,aceite,oil,class,1,0,1,2
1,It is the case either that the Spanish word 'sistema' means 'nature' or that it means 'night'.,sistema,nature,night,0,0,0,2
2,It is the case either that the Spanish word 'caballo' means 'horse' or that it means 'shoulder'.,caballo,horse,shoulder,1,0,1,2
3,It is the case either that the Spanish word 'estudiante' means 'student' or that it means 'summer'.,estudiante,student,summer,1,0,1,2
4,It is the case either that the Spanish word 'derecho' means 'summer' or that it means swim'.,derecho,summer,swim,0,0,0,2
5,It is the case either that the Spanish word 'belleza' means 'beauty' or that it means throw'.,belleza,beauty,throw,1,0,1,2
6,It is the case either that the Spanish word 'piedra' means 'stone' or that it means 'before'.,piedra,stone,before,1,0,1,2
7,It is the case either that the Spanish word 'barco' means 'hello' or that it means 'seed'.,barco,hello,seed,0,0,0,2
8,It is the case either that the Spanish word 'edad' means 'clock' or that it means read'.,edad,clock,read,0,0,0,2
9,It is the case either that the Spanish word 'lobo' means 'story' or that it means 'leg'.,lobo,story,leg,0,0,0,2
10,It is the case either that the Spanish word 'tigre' means imagine' or that it means 'cow'.,tigre,imagine,cow,0,0,0,2
11,It is the case either that the Spanish word 'derecho' means 'donkey' or that it means 'summer'.,derecho,donkey,summer,0,0,0,2
12,It is the case either that the Spanish word 'tierra' means 'land' or that it means 'skin'.,tierra,land,skin,1,0,1,2
13,It is the case either that the Spanish word 'sol' means 'land' or that it means 'sun'.,sol,land,sun,0,1,1,2
14,It is the case either that the Spanish word 'pan' means 'horse' or that it means 'eye'.,pan,horse,eye,0,0,0,2
15,It is the case either that the Spanish word 'frase' means 'paper' or that it means 'hot'.,frase,paper,hot,0,0,0,2
16,It is the case either that the Spanish word 'nariz' means eat' or that it means 'giraffe'.,nariz,eat,giraffe,0,0,0,2
17,It is the case either that the Spanish word 'leche' means 'clock' or that it means 'glass'.,leche,clock,glass,0,0,0,2
18,It is the case either that the Spanish word 'toro' means 'giraffe' or that it means 'bull'.,toro,giraffe,bull,0,1,1,2
19,It is the case either that the Spanish word 'continuar' means 'end' or that it means 'coat'.,continuar,end,coat,0,0,0,2
