idx,statement,conjunctA,conjunctB,labelA,labelB,compound_label,n_parts
0,It is the case both that the raccoon is a mammal and that the bison is a mammal.,raccoon / mammal,bison / mammal,1,1,1,2
1,It is the case both that the chimpanzee is a mammal and that the lion is a mammal.,chimpanzee / mammal,lion / mammal,1,1,1,2
2,It is the case both that the ostrich is a bird and that the crocodile is a mammal.,ostrich / bird,crocodile / mammal,1,0,0,2
3,It is the case both that the cassowary is a bird and that the axolotl is a amphibian.,cassowary / bird,axolotl / amphibian,1,1,1,2
4,It is the case both that the rhinoceros is a reptile and that the wolverine is a bird.,rhinoceros / reptile,wolverine / bird,0,0,0,2
5,It is the case both that the elephant is a mammal and that the salmon is a reptile.,elephant / mammal,salmon / reptile,1,0,0,2
6,It is the case both that the skunk is a reptile and that the frog is a bird.,skunk / reptile,frog / bird,0,0,0,2
7,It is the case both that the leopard is a mammal and that the bee is a insect.,leopard / mammal,bee / insect,1,1,1,2
8,It is the case both that the wolverine is a mammal and that the porcupine is a mammal.,wolverine / mammal,porcupine / mammal,1,1,1,2
9,It is the case both that the deer is a mammal and that the leopard is a mammal.,deer / mammal,leopard / mammal,1,1,1,2
10,It is the case both that the rat is a mammal and that the hippopotamus is a mammal.,rat / mammal,hippopotamus / mammal,1,1,1,2
11,It is the case both that the giraffe is a mammal and that the crocodile is a reptile.,giraffe / mammal,crocodile / reptile,1,1,1,2
12,It is the case both that the seagull is a bird and that the sea turtle is a fish.,seagull / bird,sea turtle / fish,1,0,0,2
13,It is the case both that the jellyfish is a cnidarian and that the koala is a mammal.,jellyfish / cnidarian,koala / mammal,1,1,1,2
14,It is the case both that the octopus is a mollusk and that the bison is a mammal.,octopus / mollusk,bison / mammal,1,1,1,2
15,It is the case both that the chimpanzee is a mammal and that the crocodile is a reptile.,chimpanzee / mammal,crocodile / reptile,1,1,1,2
16,It is the case both that the elephant is a mammal and that the hippopotamus is a mammal.,elephant / mammal,hippopotamus / mammal,1,1,1,2
17,It is the case both that the koala is a mammal and that the bat is a bird.,koala / mammal,bat / bird,1,0,0,2
18,It is the case both that the sparrow is a bird and that the snake is a fish.,sparrow / bird,snake / fish,1,0,0,2
19,It is the case both that the mongoose is a mammal and that the bee is a insect.,mongoose / mammal,bee / insect,1,1,1,2
20,It is the case both that the hippopotamus is a mammal and that the hyena is a bird.,hippopotamus / mammal,hyena / bird,1,0,0,2
21,It is the case both that the parrot is a mammal and that the cow is a mammal.,parrot / mammal,cow / mammal,0,1,0,2
22,It is the case both that the salmon is a fish and that the hamster is a mammal.,salmon / fish,hamster / mammal,1,1,1,2
23,It is the case both that the wolverine is a mammal and that the penguin is a bird.,wolverine / mammal,penguin / bird,1,1,1,2
24,It is the case both that the giraffe is a crustacean and that the tuna is a mammal.,giraffe / crustacean,tuna / mammal,0,0,0,2
25,It is the case both that the whale is a fish and that the axolotl is a reptile.,whale / fish,axolotl / reptile,0,0,0,2
26,It is the case both that the octopus is a mollusk and that the camel is a mammal.,octopus / mollusk,camel / mammal,1,1,1,2
27,It is the case both that the pigeon is a bird and that the octopus is a fish.,pigeon / bird,octopus / fish,1,0,0,2
28,It is the case both that the armadillo is a mammal and that the axolotl is a reptile.,armadillo / mammal,axolotl / reptile,1,0,0,2
29,It is the case both that the shark is a fish and that the giraffe is a crustacean.,shark / fish,giraffe / crustacean,1,0,0,2
30,It is the case both that the bison is a mammal and that the jellyfish is a cnidarian.,bison / mammal,jellyfish / cnidarian,1,1,1,2
31,It is the case both that the rat is a mammal and that the dolphin is a crustacean.,rat / mammal,dolphin / crustacean,1,0,0,2
32,It is the case both that the chimpanzee is a fish and that the otter is a mammal.,chimpanzee / fish,otter / mammal,0,1,0,2
33,It is the case both that the shark is a fish and that the pigeon is a bird.,shark / fish,pigeon / bird,1,1,1,2
34,It is the case both that the hedgehog is a bird and that the chimpanzee is a fish.,hedgehog / bird,chimpanzee / fish,0,0,0,2
35,It is the case both that the peacock is a bird and that the giant anteater is a fish.,peacock / bird,giant anteater / fish,1,0,0,2
36,It is the case both that the raccoon is a mammal and that the skunk is a reptile.,raccoon / mammal,skunk / reptile,1,0,0,2
37,It is the case both that the whale is a mammal and that the bison is a mammal.,whale / mammal,bison / mammal,1,1,1,2
38,It is the case both that the chimpanzee is a mammal and that the walrus is a mammal.,chimpanzee / mammal,walrus / mammal,1,1,1,2
39,It is the case both that the salmon is a reptile and that the slug is a mollusk.,salmon / reptile,slug / mollusk,0,1,0,2
40,It is the case both that the dog is a mammal and that the iguana is a reptile.,dog / mammal,iguana / reptile,1,1,1,2
41,It is the case both that the seahorse is a fish and that the vulture is a bird.,seahorse / fish,vulture / bird,1,1,1,2
42,It is the case both that the sparrow is a bird and that the jellyfish is a cnidarian.,sparrow / bird,jellyfish / cnidarian,1,1,1,2
43,It is the case both that the bee is a bird and that the bee is a bird.,bee / bird,bee / bird,0,0,0,2
44,It is the case both that the eagle is a bird and that the chicken is a bird.,eagle / bird,chicken / bird,1,1,1,2
45,It is the case both that the axolotl is a amphibian and that the rabbit is a bird.,axolotl / amphibian,rabbit / bird,1,0,0,2
46,It is the case both that the pigeon is a bird and that the giraffe is a crustacean.,pigeon / bird,giraffe / crustacean,1,0,0,2
47,It is the case both that the swan is a bird and that the platypus is a mammal.,swan / bird,platypus / mammal,1,1,1,2
48,It is the case both that the kangaroo is a mammal and that the platypus is a bird.,kangaroo / mammal,platypus / bird,1,0,0,2
49,It is the case both that the wolverine is a mammal and that the ostrich is a fish.,wolverine / mammal,ostrich / fish,1,0,0,2
50,It is the case both that the horse is a mammal and that the rhinoceros is a mammal.,horse / mammal,rhinoceros / mammal,1,1,1,2
51,It is the case both that the beaver is a mammal and that the rabbit is a mammal.,beaver / mammal,rabbit / mammal,1,1,1,2
52,It is the case both that the alpaca is a bird and that the salmon is a fish.,alpaca / bird,salmon / fish,0,1,0,2
53,It is the case both that the leopard is a bird and that the walrus is a mammal.,leopard / bird,walrus / mammal,0,1,0,2
54,It is the case both that the gazelle is a mollusk and that the swan is a bird.,gazelle / mollusk,swan / bird,0,1,0,2
55,It is the case both that the giraffe is a crustacean and that the seahorse is a mammal.,giraffe / crustacean,seahorse / mammal,0,0,0,2
56,It is the case both that the porcupine is a bird and that the peacock is a bird.,porcupine / bird,peacock / bird,0,1,0,2
57,It is the case both that the peacock is a mammal and that the hedgehog is a bird.,peacock / mammal,hedgehog / bird,0,0,0,2
58,It is the case both that the panda is a mammal and that the tapir is a bird.,panda / mammal,tapir / bird,1,0,0,2
59,It is the case both that the eagle is a bird and that the otter is a mammal.,eagle / bird,otter / mammal,1,1,1,2
60,It is the case both that the porcupine is a mammal and that the platypus is a bird.,porcupine / mammal,platypus / bird,1,0,0,2
61,It is the case both that the bee is a bird and that the polar bear is a fish.,bee / bird,polar bear / fish,0,0,0,2
62,It is the case both that the tiger is a mammal and that the iguana is a bird.,tiger / mammal,iguana / bird,1,0,0,2
63,It is the case both that the skunk is a reptile and that the rat is a mammal.,skunk / reptile,rat / mammal,0,1,0,2
64,It is the case both that the vulture is a bird and that the rat is a mammal.,vulture / bird,rat / mammal,1,1,1,2
