idx,statement,subject,disjunctA_obj,disjunctB_obj,labelA,labelB,compound_label,n_parts
0,It is the case either that Wilhelm Conrad Röntgen lived in the U.S or that he/she lived in Russia.,Wilhelm Conrad Röntgen,the U.S,Russia,0,0,0,2
1,It is the case either that Cai Lun lived in Russia or that he/she lived in China.,Cai Lun,Russia,China,0,1,1,2
2,It is the case either that Edwin Herbert Hall lived in the U.S or that he/she lived in the U.K.,Edwin Herbert Hall,the U.S,the U.K,1,0,1,2
3,It is the case either that Tim Berners-Lee lived in Germany or that he/she lived in the U.S.,Tim Berners-Lee,Germany,the U.S,0,0,0,2
4,It is the case either that Herbert Akroyd Stuart lived in the U.S or that he/she lived in England.,Herbert Akroyd Stuart,the U.S,England,0,1,1,2
5,It is the case either that Philo Taylor Farnsworth lived in France or that he/she lived in the U.S.,Philo Taylor Farnsworth,France,the U.S,0,1,1,2
6,It is the case either that Eli Whitney lived in the U.S or that he/she lived in Canada.,Eli Whitney,the U.S,Canada,1,0,1,2
7,It is the case either that Samuel Morse lived in Germany or that he/she lived in Russia.,Samuel Morse,Germany,Russia,0,0,0,2
8,It is the case either that Chester Carlson lived in the U.K or that he/she lived in Switzerland.,Chester Carlson,the U.K,Switzerland,0,0,0,2
9,It is the case either that John Kay lived in the U.S or that he/she lived in Russia.,John Kay,the U.S,Russia,0,0,0,2
10,It is the case either that Edwin Link lived in France or that he/she lived in the U.K.,Edwin Link,France,the U.K,0,0,0,2
11,It is the case either that Yoshiro Nakamatsu lived in Sweden/the U.S or that he/she lived in Japan.,Yoshiro Nakamatsu,Sweden/the U.S,Japan,0,1,1,2
12,It is the case either that Joseph Henry lived in Austria or that he/she lived in the U.S.,Joseph Henry,Austria,the U.S,0,1,1,2
13,It is the case either that Sir Sandford Fleming lived in Canada or that he/she lived in the U.S.,Sir Sandford Fleming,Canada,the U.S,1,0,1,2
14,It is the case either that Henri Giffard lived in the Netherlands or that he/she lived in the U.S.,Henri Giffard,the Netherlands,the U.S,0,0,0,2
15,It is the case either that Ralph H. Baer lived in the U.K or that he/she lived in the U.S.,Ralph H. Baer,the U.K,the U.S,0,1,1,2
16,It is the case either that Henry Bessemer lived in the Netherlands or that he/she lived in the U.S.,Henry Bessemer,the Netherlands,the U.S,0,0,0,2
17,It is the case either that Charles Francis Jenkins lived in Turkey/the U.S or that he/she lived in the U.S.,Charles Francis Jenkins,Turkey/the U.S,the U.S,0,1,1,2
18,It is the case either that Florence Parpart lived in Russia or that he/she lived in the U.K.,Florence Parpart,Russia,the U.K,0,0,0,2
19,It is the case either that David Schwarz lived in Croatia or that he/she lived in the U.S.,David Schwarz,Croatia,the U.S,1,0,1,2
