idx,statement,conjunctA,conjunctB,labelA,labelB,cell,compound_label,consistent
6,It is the case both that Zirconium has the symbol Eu and that Tellurium has the symbol Te.,Zirconium / Eu,Tellurium / Te,0,1,FT,0,True
8,It is the case both that Neptunium has the symbol Np and that Neptunium has the symbol Na.,Neptunium / Np,Neptunium / Na,1,0,TF,0,True
9,It is the case both that Osmium has the symbol Rn and that Rhenium has the symbol Re.,Osmium / Rn,Rhenium / Re,0,1,FT,0,True
19,It is the case both that Calcium has the symbol Ca and that Thulium has the symbol Tm.,Calcium / Ca,Thulium / Tm,1,1,TT,1,True
39,It is the case both that Iridium has the symbol Fe and that Arsenic has the symbol Re.,Iridium / Fe,Arsenic / Re,0,0,FF,0,True
49,It is the case both that Ruthenium has the symbol Ru and that Antimony has the symbol Al.,Ruthenium / Ru,Antimony / Al,1,0,TF,0,True
51,It is the case both that Lithium has the symbol Li and that Xenon has the symbol Xe.,Lithium / Li,Xenon / Xe,1,1,TT,1,True
62,It is the case both that Europium has the symbol Eu and that Cerium has the symbol Ce.,Europium / Eu,Cerium / Ce,1,1,TT,1,True
76,It is the case both that Scandium has the symbol Rn and that Nickel has the symbol Ni.,Scandium / Rn,Nickel / Ni,0,1,FT,0,True
81,It is the case both that Helium has the symbol He and that Neptunium has the symbol Na.,Helium / He,Neptunium / Na,1,0,TF,0,True
83,It is the case both that Ruthenium has the symbol Ru and that Gallium has the symbol Cs.,Ruthenium / Ru,Gallium / Cs,1,0,TF,0,True
99,It is the case both that Uranium has the symbol Re and that Thallium has the symbol Tl.,Uranium / Re,Thallium / Tl,0,1,FT,0,True
101,It is the case both that Indium has the symbol In and that Magnesium has the symbol Br.,Indium / In,Magnesium / Br,1,0,TF,0,True
114,It is the case both that Indium has the symbol In and that Iridium has the symbol Fe.,Indium / In,Iridium / Fe,1,0,TF,0,True
126,It is the case both that Yttrium has the symbol Y and that Holmium has the symbol Ho.,Yttrium / Y,Holmium / Ho,1,1,TT,1,True
154,It is the case both that Neodymium has the symbol Nd and that Thallium has the symbol Tl.,Neodymium / Nd,Thallium / Tl,1,1,TT,1,True
228,It is the case both that Ytterbium has the symbol Mo and that Actinium has the symbol Ac.,Ytterbium / Mo,Actinium / Ac,0,1,FT,0,True
254,It is the case both that Erbium has the symbol Pr and that Oxygen has the symbol Ne.,Erbium / Pr,Oxygen / Ne,0,0,FF,0,True
265,It is the case both that Praseodymium has the symbol Pr and that Mercury has the symbol Cl.,Praseodymium / Pr,Mercury / Cl,1,0,TF,0,True
268,It is the case both that Gallium has the symbol Ga and that Oxygen has the symbol O.,Gallium / Ga,Oxygen / O,1,1,TT,1,True
309,It is the case both that Palladium has the symbol Pd and that Ytterbium has the symbol Yb.,Palladium / Pd,Ytterbium / Yb,1,1,TT,1,True
310,It is the case both that Holmium has the symbol Ho and that Yttrium has the symbol U.,Holmium / Ho,Yttrium / U,1,0,TF,0,True
356,It is the case both that Praseodymium has the symbol Pr and that Zirconium has the symbol Zr.,Praseodymium / Pr,Zirconium / Zr,1,1,TT,1,True
372,It is the case both that Bromine has the symbol Br and that Helium has the symbol He.,Bromine / Br,Helium / He,1,1,TT,1,True
392,It is the case both that Sodium has the symbol Na and that Promethium has the symbol Dy.,Sodium / Na,Promethium / Dy,1,0,TF,0,True
399,It is the case both that Cobalt has the symbol Co and that Radon has the symbol H.,Cobalt / Co,Radon / H,1,0,TF,0,True
413,It is the case both that Copper has the symbol Cu and that Nickel has the symbol Ni.,Copper / Cu,Nickel / Ni,1,1,TT,1,True
475,It is the case both that Rhenium has the symbol Tm and that Samarium has the symbol Sm.,Rhenium / Tm,Samarium / Sm,0,1,FT,0,True
484,It is the case both that Rhodium has the symbol Rh and that Indium has the symbol In.,Rhodium / Rh,Indium / In,1,1,TT,1,True
492,It is the case both that Rubidium has the symbol Rb and that Uranium has the symbol Re.,Rubidium / Rb,Uranium / Re,1,0,TF,0,True
