statement,topic,n,condition,n_true,n_false,compound_label,conjuncts,labels
The octopus is a mollusk and the camel is a mammal and the skunk is a insect and the kangaroo is a mammal and the wolverine is a mammal and the tapir is a mammal.,animal_class,6,dilute_1false,5,1,0,"[""The octopus is a mollusk."", ""The camel is a mammal."", ""The skunk is a insect."", ""The kangaroo is a mammal."", ""The wolverine is a mammal."", ""The tapir is a mammal.""]","[1, 1, 0, 1, 1, 1]"
The hummingbird is a crustacean and the tiger is a amphibian and the beaver is a bird.,animal_class,3,all_false,0,3,0,"[""The hummingbird is a crustacean."", ""The tiger is a amphibian."", ""The beaver is a bird.""]","[0, 0, 0]"
The giraffe is a cnidarian and the vulture is a mollusk.,animal_class,2,all_false,0,2,0,"[""The giraffe is a cnidarian."", ""The vulture is a mollusk.""]","[0, 0]"
The skunk is a insect and the tarantula is a bird and the horse is a fish and the crocodile is a bird.,animal_class,4,all_false,0,4,0,"[""The skunk is a insect."", ""The tarantula is a bird."", ""The horse is a fish."", ""The crocodile is a bird.""]","[0, 0, 0, 0]"
The iguana is a reptile and the dog is a mammal and the eagle is a bird and the tuna is a fish.,animal_class,4,all_true,4,0,1,"[""The iguana is a reptile."", ""The dog is a mammal."", ""The eagle is a bird."", ""The tuna is a fish.""]","[1, 1, 1, 1]"
The cheetah is a arachnid and the dolphin is a crustacean and the rabbit is a bird.,animal_class,3,all_false,0,3,0,"[""The cheetah is a arachnid."", ""The dolphin is a crustacean."", ""The rabbit is a bird.""]","[0, 0, 0]"
The city of Yingkou is in Myanmar and the city of Managua is in Thailand and the city of Kanpur is in Mozambique.,cities,3,all_false,0,3,0,"[""The city of Yingkou is in Myanmar."", ""The city of Managua is in Thailand."", ""The city of Kanpur is in Mozambique.""]","[0, 0, 0]"
The city of Haiphong is in Vietnam and the city of Rawalpindi is in Pakistan and the city of Ar Raqqah is in Bangladesh and the city of Shizuoka is in Japan.,cities,4,dilute_1false,3,1,0,"[""The city of Haiphong is in Vietnam."", ""The city of Rawalpindi is in Pakistan."", ""The city of Ar Raqqah is in Bangladesh."", ""The city of Shizuoka is in Japan.""]","[1, 1, 0, 1]"
The city of Macapa is in Brazil and the city of Tolyatti is in Russia and the city of Santo Domingo Este is in Colombia.,cities,3,dilute_1false,2,1,0,"[""The city of Macapa is in Brazil."", ""The city of Tolyatti is in Russia."", ""The city of Santo Domingo Este is in Colombia.""]","[1, 1, 0]"
The city of Taicang is in Moldova and the city of Abobo is in Ghana and the city of Al Fayyum is in Somalia.,cities,3,all_false,0,3,0,"[""The city of Taicang is in Moldova."", ""The city of Abobo is in Ghana."", ""The city of Al Fayyum is in Somalia.""]","[0, 0, 0]"
The city of Basrah is in India and the city of Bagcilar is in Jamaica and the city of Heze is in Burkina Faso and the city of Kanpur is in Mozambique.,cities,4,all_false,0,4,0,"[""The city of Basrah is in India."", ""The city of Bagcilar is in Jamaica."", ""The city of Heze is in Burkina Faso."", ""The city of Kanpur is in Mozambique.""]","[0, 0, 0, 0]"
The city of Sanmenxia is in the Republic of the Congo and the city of Torreon is in Jamaica and the city of Tokyo is in Mauritania and the city of Brasilia is in Hungary.,cities,4,all_false,0,4,0,"[""The city of Sanmenxia is in the Republic of the Congo."", ""The city of Torreon is in Jamaica."", ""The city of Tokyo is in Mauritania."", ""The city of Brasilia is in Hungary.""]","[0, 0, 0, 0]"
Selenium has the symbol Po and Neon has the symbol B and Silver has the symbol Fe and Bismuth has the symbol Tl.,element_symb,4,all_false,0,4,0,"[""Selenium has the symbol Po."", ""Neon has the symbol B."", ""Silver has the symbol Fe."", ""Bismuth has the symbol Tl.""]","[0, 0, 0, 0]"
Vanadium has the symbol Ta and Silicon has the symbol Tm and Radium has the symbol Pr and Nickel has the symbol Os.,element_symb,4,all_false,0,4,0,"[""Vanadium has the symbol Ta."", ""Silicon has the symbol Tm."", ""Radium has the symbol Pr."", ""Nickel has the symbol Os.""]","[0, 0, 0, 0]"
Actinium has the symbol Ac and Magnesium has the symbol Mg and Osmium has the symbol P and Astatine has the symbol At.,element_symb,4,dilute_1false,3,1,0,"[""Actinium has the symbol Ac."", ""Magnesium has the symbol Mg."", ""Osmium has the symbol P."", ""Astatine has the symbol At.""]","[1, 1, 0, 1]"
