topic,entity,entity_id,object_value,proposition_key,source_statement,source_label,source_dataset,source_file,source_row
cities,Krasnodar,entity_727ea1c6f478c4804d2ffd90e2af7249763f91695aff2150a49f5802b4d30a93,Russia,"[""cities"",""Krasnodar"",""Russia""]",The city of Krasnodar is in Russia.,1,cities,cities.csv,1
cities,Krasnodar,entity_727ea1c6f478c4804d2ffd90e2af7249763f91695aff2150a49f5802b4d30a93,South Africa,"[""cities"",""Krasnodar"",""South Africa""]",The city of Krasnodar is in South Africa.,0,cities,cities.csv,2
cities,Lodz,entity_a120d92b7c5147f3bcf0aadb242aab3a8736489a10e6a449e77be28ee6104228,Poland,"[""cities"",""Lodz"",""Poland""]",The city of Lodz is in Poland.,1,cities,cities.csv,3
cities,Lodz,entity_a120d92b7c5147f3bcf0aadb242aab3a8736489a10e6a449e77be28ee6104228,the Dominican Republic,"[""cities"",""Lodz"",""the Dominican Republic""]",The city of Lodz is in the Dominican Republic.,0,cities,cities.csv,4
cities,Maracay,entity_89432179bd6c219cbe875c3d34679db49cbce8ebc28e20f418aa420033445bea,Venezuela,"[""cities"",""Maracay"",""Venezuela""]",The city of Maracay is in Venezuela.,1,cities,cities.csv,5
cities,Maracay,entity_89432179bd6c219cbe875c3d34679db49cbce8ebc28e20f418aa420033445bea,China,"[""cities"",""Maracay"",""China""]",The city of Maracay is in China.,0,cities,cities.csv,6
cities,Baku,entity_759a8b1fd63c4c9e3836ab069d8702a66fcbe37f3d428fc7f72f31f4f3a02a95,Azerbaijan,"[""cities"",""Baku"",""Azerbaijan""]",The city of Baku is in Azerbaijan.,1,cities,cities.csv,7
cities,Baku,entity_759a8b1fd63c4c9e3836ab069d8702a66fcbe37f3d428fc7f72f31f4f3a02a95,Ukraine,"[""cities"",""Baku"",""Ukraine""]",The city of Baku is in Ukraine.,0,cities,cities.csv,8
cities,Baoji,entity_73c0934ed6d87f35250109422964ce3bc847a0090aaddc392ac2afd1bf84a907,China,"[""cities"",""Baoji"",""China""]",The city of Baoji is in China.,1,cities,cities.csv,9
cities,Baoji,entity_73c0934ed6d87f35250109422964ce3bc847a0090aaddc392ac2afd1bf84a907,Guatemala,"[""cities"",""Baoji"",""Guatemala""]",The city of Baoji is in Guatemala.,0,cities,cities.csv,10
cities,Addis Ababa,entity_bceadd6b343c4d2df0517cc51f8ccf77953467b330a726bc3a33bb0075403967,Ethiopia,"[""cities"",""Addis Ababa"",""Ethiopia""]",The city of Addis Ababa is in Ethiopia.,1,cities,cities.csv,11
cities,Addis Ababa,entity_bceadd6b343c4d2df0517cc51f8ccf77953467b330a726bc3a33bb0075403967,Indonesia,"[""cities"",""Addis Ababa"",""Indonesia""]",The city of Addis Ababa is in Indonesia.,0,cities,cities.csv,12
cities,Abidjan,entity_afbd62642a9c2bde9c5a033457d1a372a56a88836c02ea244abd1b77fce6ea08,Côte d'Ivoire,"[""cities"",""Abidjan"",""Côte d'Ivoire""]",The city of Abidjan is in Côte d'Ivoire.,1,cities,cities.csv,13
cities,Abidjan,entity_afbd62642a9c2bde9c5a033457d1a372a56a88836c02ea244abd1b77fce6ea08,China,"[""cities"",""Abidjan"",""China""]",The city of Abidjan is in China.,0,cities,cities.csv,14
cities,Yongzhou,entity_5538c326c13704cd0eb94831f176d4b7d760742c1fe12850717492f2d63be07b,China,"[""cities"",""Yongzhou"",""China""]",The city of Yongzhou is in China.,1,cities,cities.csv,15
cities,Yongzhou,entity_5538c326c13704cd0eb94831f176d4b7d760742c1fe12850717492f2d63be07b,Ukraine,"[""cities"",""Yongzhou"",""Ukraine""]",The city of Yongzhou is in Ukraine.,0,cities,cities.csv,16
cities,Nanchong,entity_35331c7e16e88f60df0c98f7a93673f58adb5af59d50f2122dff05da16f4173e,China,"[""cities"",""Nanchong"",""China""]",The city of Nanchong is in China.,1,cities,cities.csv,17
