topic,split,entity,entity_id,candidate_object,proposition_key,classification,source_proposition_rows,generator_stratum_blocked
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Algeria,"[""cities"",""Abeokuta"",""Algeria""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Australia,"[""cities"",""Abeokuta"",""Australia""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Azerbaijan,"[""cities"",""Abeokuta"",""Azerbaijan""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Bangladesh,"[""cities"",""Abeokuta"",""Bangladesh""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Belarus,"[""cities"",""Abeokuta"",""Belarus""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Belgium,"[""cities"",""Abeokuta"",""Belgium""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Benin,"[""cities"",""Abeokuta"",""Benin""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Brazil,"[""cities"",""Abeokuta"",""Brazil""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Bulgaria,"[""cities"",""Abeokuta"",""Bulgaria""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Burkina Faso,"[""cities"",""Abeokuta"",""Burkina Faso""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Burundi,"[""cities"",""Abeokuta"",""Burundi""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Cameroon,"[""cities"",""Abeokuta"",""Cameroon""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Canada,"[""cities"",""Abeokuta"",""Canada""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Chad,"[""cities"",""Abeokuta"",""Chad""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,China,"[""cities"",""Abeokuta"",""China""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Colombia,"[""cities"",""Abeokuta"",""Colombia""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Cuba,"[""cities"",""Abeokuta"",""Cuba""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Côte d'Ivoire,"[""cities"",""Abeokuta"",""Côte d'Ivoire""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Egypt,"[""cities"",""Abeokuta"",""Egypt""]",unverified_negative,[],False
cities,train,Abeokuta,entity_c619cdd4b682d21255fec748c4385e77b3f45b4ef93b6fdcb8f8746195e1811c,Ethiopia,"[""cities"",""Abeokuta"",""Ethiopia""]",unverified_negative,[],False
