idx,statement,conjunctA,conjunctB,labelA,labelB,compound_label,n_parts
0,It is the case both that Tantalum has the symbol Ta and that Rhenium has the symbol Re.,Tantalum / Ta,Rhenium / Re,1,1,1,2
1,It is the case both that Lanthanum has the symbol Po and that Neptunium has the symbol Np.,Lanthanum / Po,Neptunium / Np,0,1,0,2
2,It is the case both that Platinum has the symbol Pt and that Vanadium has the symbol V.,Platinum / Pt,Vanadium / V,1,1,1,2
3,It is the case both that Vanadium has the symbol Ba and that Ruthenium has the symbol Ru.,Vanadium / Ba,Ruthenium / Ru,0,1,0,2
4,It is the case both that Chromium has the symbol Cr and that Vanadium has the symbol V.,Chromium / Cr,Vanadium / V,1,1,1,2
5,It is the case both that Technetium has the symbol Tc and that Magnesium has the symbol Mg.,Technetium / Tc,Magnesium / Mg,1,1,1,2
6,It is the case both that Zirconium has the symbol Eu and that Tellurium has the symbol Te.,Zirconium / Eu,Tellurium / Te,0,1,0,2
7,It is the case both that Lithium has the symbol Li and that Neon has the symbol Lu.,Lithium / Li,Neon / Lu,1,0,0,2
8,It is the case both that Neptunium has the symbol Np and that Neptunium has the symbol Na.,Neptunium / Np,Neptunium / Na,1,0,0,2
9,It is the case both that Osmium has the symbol Rn and that Rhenium has the symbol Re.,Osmium / Rn,Rhenium / Re,0,1,0,2
10,It is the case both that Niobium has the symbol Nb and that Yttrium has the symbol Y.,Niobium / Nb,Yttrium / Y,1,1,1,2
11,It is the case both that Sulfur has the symbol S and that Xenon has the symbol F.,Sulfur / S,Xenon / F,1,0,0,2
12,It is the case both that Iron has the symbol Fe and that Terbium has the symbol Tb.,Iron / Fe,Terbium / Tb,1,1,1,2
13,It is the case both that Hafnium has the symbol Hf and that Chlorine has the symbol Cr.,Hafnium / Hf,Chlorine / Cr,1,0,0,2
14,It is the case both that Ruthenium has the symbol Ru and that Francium has the symbol Fr.,Ruthenium / Ru,Francium / Fr,1,1,1,2
15,It is the case both that Gold has the symbol Au and that Helium has the symbol He.,Gold / Au,Helium / He,1,1,1,2
16,It is the case both that Iron has the symbol Fe and that Barium has the symbol Sb.,Iron / Fe,Barium / Sb,1,0,0,2
17,It is the case both that Palladium has the symbol Nd and that Holmium has the symbol Ho.,Palladium / Nd,Holmium / Ho,0,1,0,2
18,It is the case both that Chromium has the symbol Cr and that Cerium has the symbol Ne.,Chromium / Cr,Cerium / Ne,1,0,0,2
19,It is the case both that Calcium has the symbol Ca and that Thulium has the symbol Tm.,Calcium / Ca,Thulium / Tm,1,1,1,2
20,It is the case both that Silicon has the symbol Rn and that Nickel has the symbol Ni.,Silicon / Rn,Nickel / Ni,0,1,0,2
21,It is the case both that Molybdenum has the symbol Mo and that Scandium has the symbol Sc.,Molybdenum / Mo,Scandium / Sc,1,1,1,2
22,It is the case both that Mercury has the symbol Hg and that Rubidium has the symbol Rb.,Mercury / Hg,Rubidium / Rb,1,1,1,2
23,It is the case both that Xenon has the symbol Xe and that Selenium has the symbol Se.,Xenon / Xe,Selenium / Se,1,1,1,2
24,It is the case both that Actinium has the symbol Ac and that Radon has the symbol Rn.,Actinium / Ac,Radon / Rn,1,1,1,2
25,It is the case both that Mercury has the symbol Hg and that Sulfur has the symbol S.,Mercury / Hg,Sulfur / S,1,1,1,2
26,It is the case both that Sulfur has the symbol S and that Neptunium has the symbol Np.,Sulfur / S,Neptunium / Np,1,1,1,2
27,It is the case both that Carbon has the symbol C and that Cesium has the symbol Cs.,Carbon / C,Cesium / Cs,1,1,1,2
28,It is the case both that Europium has the symbol Ga and that Hafnium has the symbol Nd.,Europium / Ga,Hafnium / Nd,0,0,0,2
29,It is the case both that Gallium has the symbol Ga and that Ytterbium has the symbol Yb.,Gallium / Ga,Ytterbium / Yb,1,1,1,2
30,It is the case both that Francium has the symbol Fr and that Chlorine has the symbol Cl.,Francium / Fr,Chlorine / Cl,1,1,1,2
31,It is the case both that Krypton has the symbol Kr and that Ytterbium has the symbol Mo.,Krypton / Kr,Ytterbium / Mo,1,0,0,2
32,It is the case both that Cadmium has the symbol Ir and that Tin has the symbol Be.,Cadmium / Ir,Tin / Be,0,0,0,2
33,It is the case both that Lithium has the symbol Li and that Selenium has the symbol Se.,Lithium / Li,Selenium / Se,1,1,1,2
34,It is the case both that Cadmium has the symbol Cd and that Technetium has the symbol Tc.,Cadmium / Cd,Technetium / Tc,1,1,1,2
35,It is the case both that Lanthanum has the symbol La and that Neptunium has the symbol Np.,Lanthanum / La,Neptunium / Np,1,1,1,2
36,It is the case both that Tellurium has the symbol O and that Nitrogen has the symbol N.,Tellurium / O,Nitrogen / N,0,1,0,2
37,It is the case both that Platinum has the symbol Pt and that Krypton has the symbol Kr.,Platinum / Pt,Krypton / Kr,1,1,1,2
38,It is the case both that Promethium has the symbol Pm and that Fluorine has the symbol N.,Promethium / Pm,Fluorine / N,1,0,0,2
39,It is the case both that Iridium has the symbol Fe and that Arsenic has the symbol Re.,Iridium / Fe,Arsenic / Re,0,0,0,2
40,It is the case both that Astatine has the symbol At and that Dysprosium has the symbol Dy.,Astatine / At,Dysprosium / Dy,1,1,1,2
41,It is the case both that Neptunium has the symbol Na and that Potassium has the symbol Al.,Neptunium / Na,Potassium / Al,0,0,0,2
42,It is the case both that Mercury has the symbol Cl and that Beryllium has the symbol As.,Mercury / Cl,Beryllium / As,0,0,0,2
43,It is the case both that Protactinium has the symbol Pa and that Thallium has the symbol Tl.,Protactinium / Pa,Thallium / Tl,1,1,1,2
44,It is the case both that Barium has the symbol Ba and that Nickel has the symbol Rb.,Barium / Ba,Nickel / Rb,1,0,0,2
45,It is the case both that Erbium has the symbol Er and that Krypton has the symbol Kr.,Erbium / Er,Krypton / Kr,1,1,1,2
46,It is the case both that Helium has the symbol He and that Technetium has the symbol Tc.,Helium / He,Technetium / Tc,1,1,1,2
47,It is the case both that Neon has the symbol Ne and that Thorium has the symbol Th.,Neon / Ne,Thorium / Th,1,1,1,2
48,It is the case both that Samarium has the symbol Pr and that Lithium has the symbol Li.,Samarium / Pr,Lithium / Li,0,1,0,2
49,It is the case both that Ruthenium has the symbol Ru and that Antimony has the symbol Al.,Ruthenium / Ru,Antimony / Al,1,0,0,2
50,It is the case both that Thorium has the symbol Se and that Xenon has the symbol Xe.,Thorium / Se,Xenon / Xe,0,1,0,2
51,It is the case both that Lithium has the symbol Li and that Xenon has the symbol Xe.,Lithium / Li,Xenon / Xe,1,1,1,2
52,It is the case both that Aluminum has the symbol Al and that Astatine has the symbol At.,Aluminum / Al,Astatine / At,1,1,1,2
53,It is the case both that Gold has the symbol Au and that Cadmium has the symbol Cd.,Gold / Au,Cadmium / Cd,1,1,1,2
54,It is the case both that Hydrogen has the symbol H and that Tantalum has the symbol Cs.,Hydrogen / H,Tantalum / Cs,1,0,0,2
55,It is the case both that Thulium has the symbol Ne and that Radium has the symbol Ra.,Thulium / Ne,Radium / Ra,0,1,0,2
56,It is the case both that Praseodymium has the symbol Pr and that Lutetium has the symbol Lu.,Praseodymium / Pr,Lutetium / Lu,1,1,1,2
57,It is the case both that Protactinium has the symbol Ir and that Thulium has the symbol Tm.,Protactinium / Ir,Thulium / Tm,0,1,0,2
58,It is the case both that Europium has the symbol Eu and that Gallium has the symbol Ga.,Europium / Eu,Gallium / Ga,1,1,1,2
59,It is the case both that Thulium has the symbol Ne and that Uranium has the symbol U.,Thulium / Ne,Uranium / U,0,1,0,2
60,It is the case both that Nitrogen has the symbol La and that Palladium has the symbol Nd.,Nitrogen / La,Palladium / Nd,0,0,0,2
61,It is the case both that Radon has the symbol Rn and that Tantalum has the symbol Ta.,Radon / Rn,Tantalum / Ta,1,1,1,2
62,It is the case both that Europium has the symbol Eu and that Cerium has the symbol Ce.,Europium / Eu,Cerium / Ce,1,1,1,2
63,It is the case both that Barium has the symbol Sb and that Technetium has the symbol Ag.,Barium / Sb,Technetium / Ag,0,0,0,2
64,It is the case both that Phosphorus has the symbol P and that Radon has the symbol Rn.,Phosphorus / P,Radon / Rn,1,1,1,2
65,It is the case both that Erbium has the symbol Er and that Tellurium has the symbol Te.,Erbium / Er,Tellurium / Te,1,1,1,2
66,It is the case both that Iridium has the symbol Ir and that Boron has the symbol B.,Iridium / Ir,Boron / B,1,1,1,2
67,It is the case both that Argon has the symbol Ar and that Mercury has the symbol Cl.,Argon / Ar,Mercury / Cl,1,0,0,2
68,It is the case both that Nickel has the symbol Ni and that Thorium has the symbol Th.,Nickel / Ni,Thorium / Th,1,1,1,2
69,It is the case both that Selenium has the symbol Se and that Cesium has the symbol Cs.,Selenium / Se,Cesium / Cs,1,1,1,2
70,It is the case both that Iron has the symbol Fe and that Palladium has the symbol Nd.,Iron / Fe,Palladium / Nd,1,0,0,2
71,It is the case both that Bismuth has the symbol Bi and that Zirconium has the symbol Zr.,Bismuth / Bi,Zirconium / Zr,1,1,1,2
72,It is the case both that Thallium has the symbol Sr and that Scandium has the symbol Sc.,Thallium / Sr,Scandium / Sc,0,1,0,2
73,It is the case both that Niobium has the symbol Rh and that Argon has the symbol Ar.,Niobium / Rh,Argon / Ar,0,1,0,2
74,It is the case both that Praseodymium has the symbol Sc and that Oxygen has the symbol Ne.,Praseodymium / Sc,Oxygen / Ne,0,0,0,2
75,It is the case both that Niobium has the symbol Nb and that Neon has the symbol Ne.,Niobium / Nb,Neon / Ne,1,1,1,2
