idx,statement,subject,disjunctA_obj,disjunctB_obj,labelA,labelB,compound_label,n_parts
0,It is the case either that the city of Diyarbakir is in Japan or that it is in Colombia.,Diyarbakir,Japan,Colombia,0,0,0,2
1,It is the case either that the city of Warri is in China or that it is in Africa.,Warri,China,Africa,0,0,0,2
2,It is the case either that the city of Klang is in India or that it is in Malaysia.,Klang,India,Malaysia,0,1,1,2
3,It is the case either that the city of Turin is in Moldova or that it is in Italy.,Turin,Moldova,Italy,0,1,1,2
4,It is the case either that the city of Ebute Ikorodu is in China or that it is in Mexico.,Ebute Ikorodu,China,Mexico,0,0,0,2
5,It is the case either that the city of Multan is in States or that it is in Pakistan.,Multan,States,Pakistan,0,1,1,2
6,It is the case either that the city of Hiroshima is in Japan or that it is in Pakistan.,Hiroshima,Japan,Pakistan,1,0,1,2
7,It is the case either that the city of Pimpri is in Japan or that it is in China.,Pimpri,Japan,China,0,0,0,2
8,It is the case either that the city of Vijayawada is in India or that it is in Indonesia.,Vijayawada,India,Indonesia,1,0,1,2
9,It is the case either that the city of Onitsha is in China or that it is in Vietnam.,Onitsha,China,Vietnam,0,0,0,2
10,It is the case either that the city of Oklahoma City is in Brazil or that it is in China.,Oklahoma City,Brazil,China,0,0,0,2
11,It is the case either that the city of Korla is in Azerbaijan or that it is in Russia.,Korla,Azerbaijan,Russia,0,0,0,2
12,It is the case either that the city of Ningbo is in South China or that it is in Korea.,Ningbo,South China,Korea,0,0,0,2
13,It is the case either that the city of Libreville is in Gabon or that it is in Eritrea.,Libreville,Gabon,Eritrea,1,0,1,2
14,It is the case either that the city of Rourkela is in India or that it is in States.,Rourkela,India,States,1,0,1,2
15,It is the case either that the city of Shiraz is in Cuba or that it is in Iran.,Shiraz,Cuba,Iran,0,1,1,2
16,It is the case either that the city of Jiaozhou is in Latvia or that it is in Venezuela.,Jiaozhou,Latvia,Venezuela,0,0,0,2
17,It is the case either that the city of Malacca is in Malaysia or that it is in Vietnam.,Malacca,Malaysia,Vietnam,1,0,1,2
18,It is the case either that the city of Duque de Caxias is in China or that it is in Brazil.,Duque de Caxias,China,Brazil,0,1,1,2
19,It is the case either that the city of Guiyang is in South Korea or that it is in Turkey.,Guiyang,South Korea,Turkey,0,0,0,2
20,It is the case either that the city of Mukalla is in India or that it is in Yemen.,Mukalla,India,Yemen,0,1,1,2
21,It is the case either that the city of Bouake is in Côte d'Ivoire or that it is in Turkey.,Bouake,Côte d'Ivoire,Turkey,1,0,1,2
22,It is the case either that the city of Sanmenxia is in Indonesia or that it is in Brazil.,Sanmenxia,Indonesia,Brazil,0,0,0,2
23,It is the case either that the city of Ajmer is in Russia or that it is in China.,Ajmer,Russia,China,0,0,0,2
24,It is the case either that the city of Yibin is in Korea or that it is in China.,Yibin,Korea,China,0,1,1,2
25,It is the case either that the city of Jinan is in Rwanda or that it is in Turkey.,Jinan,Rwanda,Turkey,0,0,0,2
26,It is the case either that the city of Comilla is in India or that it is in China.,Comilla,India,China,0,0,0,2
27,It is the case either that the city of Laibin is in Arabia or that it is in China.,Laibin,Arabia,China,0,1,1,2
28,It is the case either that the city of Najafgarh is in India or that it is in Russia.,Najafgarh,India,Russia,1,0,1,2
29,It is the case either that the city of Erbil is in Cuba or that it is in China.,Erbil,Cuba,China,0,0,0,2
30,It is the case either that the city of Balikpapan is in Turkey or that it is in Indonesia.,Balikpapan,Turkey,Indonesia,0,1,1,2
31,It is the case either that the city of Wuzhou is in Turkey or that it is in Syria.,Wuzhou,Turkey,Syria,0,0,0,2
32,It is the case either that the city of Cuttack is in Korea or that it is in India.,Cuttack,Korea,India,0,1,1,2
33,It is the case either that the city of Bilimora is in Uzbekistan or that it is in China.,Bilimora,Uzbekistan,China,0,0,0,2
34,It is the case either that the city of Yichang is in Herzegovina or that it is in China.,Yichang,Herzegovina,China,0,1,1,2
35,It is the case either that the city of Ajmer is in Bangladesh or that it is in Russia.,Ajmer,Bangladesh,Russia,0,0,0,2
36,It is the case either that the city of Rohini is in India or that it is in Myanmar.,Rohini,India,Myanmar,1,0,1,2
37,It is the case either that the city of Khabarovsk Vtoroy is in China or that it is in Afghanistan.,Khabarovsk Vtoroy,China,Afghanistan,0,0,0,2
38,It is the case either that the city of Chattogram is in Korea or that it is in Bangladesh.,Chattogram,Korea,Bangladesh,0,1,1,2
39,It is the case either that the city of Rawalpindi is in India or that it is in Brazil.,Rawalpindi,India,Brazil,0,0,0,2
40,It is the case either that the city of New York City is in the United States or that it is in Denmark.,New York City,the United States,Denmark,1,0,1,2
41,It is the case either that the city of Foshan is in Mozambique or that it is in China.,Foshan,Mozambique,China,0,1,0,2
42,It is the case either that the city of Adana is in Turkey or that it is in China.,Adana,Turkey,China,1,0,1,2
43,It is the case either that the city of Almaty is in Iraq or that it is in Brazil.,Almaty,Iraq,Brazil,0,0,0,2
44,It is the case either that the city of Baoji is in Guatemala or that it is in Honduras.,Baoji,Guatemala,Honduras,0,0,0,2
45,It is the case either that the city of Deyang is in China or that it is in Madagascar.,Deyang,China,Madagascar,1,0,1,2
46,It is the case either that the city of Chisinau is in Germany or that it is in China.,Chisinau,Germany,China,0,0,0,2
47,It is the case either that the city of Qom is in Philippines or that it is in Vietnam.,Qom,Philippines,Vietnam,0,0,0,2
48,It is the case either that the city of Bhilai is in India or that it is in Venezuela.,Bhilai,India,Venezuela,1,0,1,2
49,It is the case either that the city of Baise is in India or that it is in Japan.,Baise,India,Japan,0,0,0,2
50,It is the case either that the city of Bishkek is in Pakistan or that it is in Germany.,Bishkek,Pakistan,Germany,0,0,0,2
51,It is the case either that the city of Helsinki is in Finland or that it is in China.,Helsinki,Finland,China,1,0,1,2
52,It is the case either that the city of Oyo is in China or that it is in Jordan.,Oyo,China,Jordan,0,0,0,2
53,It is the case either that the city of Saint Petersburg is in Indonesia or that it is in Canada.,Saint Petersburg,Indonesia,Canada,0,0,0,2
