entity_pair_id,topic,partition,n_rows
"animal_class::[""aardvark"",""dog""]",animal_class,train,16
"animal_class::[""aardvark"",""hyena""]",animal_class,test,16
"animal_class::[""aardvark"",""llama""]",animal_class,train,16
"animal_class::[""alpaca"",""eagle""]",animal_class,train,16
"animal_class::[""axolotl"",""chimpanzee""]",animal_class,train,16
"animal_class::[""axolotl"",""horse""]",animal_class,train,16
"animal_class::[""axolotl"",""whale""]",animal_class,train,16
"animal_class::[""bat"",""bison""]",animal_class,train,16
"animal_class::[""bat"",""raccoon""]",animal_class,train,16
"animal_class::[""beaver"",""moose""]",animal_class,train,16
"animal_class::[""bee"",""frog""]",animal_class,test,16
"animal_class::[""bee"",""porcupine""]",animal_class,train,16
"animal_class::[""bison"",""camel""]",animal_class,test,16
"animal_class::[""bison"",""gazelle""]",animal_class,train,16
"animal_class::[""bison"",""pigeon""]",animal_class,train,16
"animal_class::[""camel"",""elephant""]",animal_class,test,16
"animal_class::[""camel"",""moose""]",animal_class,train,16
"animal_class::[""camel"",""parrot""]",animal_class,train,16
"animal_class::[""camel"",""seagull""]",animal_class,train,16
"animal_class::[""camel"",""skunk""]",animal_class,train,16
"animal_class::[""cassowary"",""skunk""]",animal_class,train,16
"animal_class::[""cat"",""vulture""]",animal_class,test,16
"animal_class::[""cheetah"",""dolphin""]",animal_class,train,16
"animal_class::[""cheetah"",""frog""]",animal_class,train,16
"animal_class::[""chicken"",""sparrow""]",animal_class,train,16
"animal_class::[""chicken"",""squirrel""]",animal_class,train,16
"animal_class::[""chicken"",""vulture""]",animal_class,train,16
"animal_class::[""chimpanzee"",""goat""]",animal_class,train,16
"animal_class::[""chimpanzee"",""hyena""]",animal_class,train,16
"animal_class::[""chimpanzee"",""lion""]",animal_class,train,16
"animal_class::[""chimpanzee"",""moose""]",animal_class,train,16
"animal_class::[""chimpanzee"",""parrot""]",animal_class,train,16
"animal_class::[""cow"",""goldfish""]",animal_class,train,16
"animal_class::[""cow"",""whale""]",animal_class,train,16
"animal_class::[""crocodile"",""hamster""]",animal_class,train,16
"animal_class::[""crocodile"",""hummingbird""]",animal_class,train,16
"animal_class::[""deer"",""iguana""]",animal_class,train,16
"animal_class::[""deer"",""kangaroo""]",animal_class,test,16
"animal_class::[""deer"",""raccoon""]",animal_class,train,16
"animal_class::[""dog"",""iguana""]",animal_class,train,16
"animal_class::[""dolphin"",""hedgehog""]",animal_class,train,16
"animal_class::[""dolphin"",""kangaroo""]",animal_class,train,16
"animal_class::[""elephant"",""panda""]",animal_class,train,16
"animal_class::[""flamingo"",""seagull""]",animal_class,train,16
"animal_class::[""gazelle"",""platypus""]",animal_class,train,16
"animal_class::[""gazelle"",""sparrow""]",animal_class,test,16
"animal_class::[""goat"",""llama""]",animal_class,test,16
"animal_class::[""goat"",""narwhal""]",animal_class,train,16
"animal_class::[""goat"",""parrot""]",animal_class,train,16
"animal_class::[""goat"",""rat""]",animal_class,train,16
"animal_class::[""goat"",""salmon""]",animal_class,train,16
"animal_class::[""goat"",""whale""]",animal_class,train,16
"animal_class::[""goldfish"",""hamster""]",animal_class,train,16
"animal_class::[""goldfish"",""kangaroo""]",animal_class,train,16
"animal_class::[""gorilla"",""hamster""]",animal_class,test,16
"animal_class::[""gorilla"",""jellyfish""]",animal_class,train,16
"animal_class::[""gorilla"",""llama""]",animal_class,test,16
"animal_class::[""gorilla"",""panda""]",animal_class,train,16
"animal_class::[""hamster"",""peacock""]",animal_class,train,16
"animal_class::[""hedgehog"",""lion""]",animal_class,train,16
"animal_class::[""hedgehog"",""mongoose""]",animal_class,test,16
"animal_class::[""hedgehog"",""tiger""]",animal_class,train,16
