statement,topic,conjunctA,conjunctB,labelA,labelB,cell,connective,ordering
"Either the Spanish word 'presente' means 'problem' or the Spanish word 'veinte' means 'twenty', but not both.",sp_en_trans,The Spanish word 'veinte' means 'twenty'.,The Spanish word 'presente' means 'problem'.,1,0,TF,xor,BA
"Either the city of Krakow is in Poland or the city of Chisinau is in Moldova, but not both.",cities,The city of Chisinau is in Moldova.,The city of Krakow is in Poland.,1,1,TT,xor,BA
"Either the camel is a crustacean or the moose is a reptile, but not both.",animal_class,The moose is a reptile.,The camel is a crustacean.,0,0,FF,xor,BA
"Either the city of Tangier is in Morocco or the city of Madurai is in India, but not both.",cities,The city of Tangier is in Morocco.,The city of Madurai is in India.,1,1,TT,xor,AB
"Either the chimpanzee is a mammal or the hyena is a cnidarian, but not both.",animal_class,The hyena is a cnidarian.,The chimpanzee is a mammal.,0,1,FT,xor,BA
"Either Lead has the symbol Er or Tellurium has the symbol Zn, but not both.",element_symb,Tellurium has the symbol Zn.,Lead has the symbol Er.,0,0,FF,xor,BA
"Either James Watt lived in Finland or Charles Macintosh lived in the U.K, but not both.",inventors,Charles Macintosh lived in the U.K.,James Watt lived in Finland.,1,0,TF,xor,BA
"Either the city of Madurai is in Yemen or the city of Tangier is in Morocco, but not both.",cities,The city of Tangier is in Morocco.,The city of Madurai is in Yemen.,1,0,TF,xor,BA
"Either the city of Paranaque City is in Italy or the city of Klang is in South Africa, but not both.",cities,The city of Paranaque City is in Italy.,The city of Klang is in South Africa.,0,0,FF,xor,AB
"Either the goat is a mammal or the rat is a arachnid, but not both.",animal_class,The rat is a arachnid.,The goat is a mammal.,0,1,FT,xor,BA
"Either the hedgehog is a mammal or the lion is a cnidarian, but not both.",animal_class,The hedgehog is a mammal.,The lion is a cnidarian.,1,0,TF,xor,AB
"Either the salmon is a fish or the goat is a mammal, but not both.",animal_class,The salmon is a fish.,The goat is a mammal.,1,1,TT,xor,AB
"Either the walrus is a mammal or the zebra is a arachnid, but not both.",animal_class,The walrus is a mammal.,The zebra is a arachnid.,1,0,TF,xor,AB
"Either the city of Indore is in India or the city of Lodz is in Niger, but not both.",cities,The city of Lodz is in Niger.,The city of Indore is in India.,0,1,FT,xor,BA
"Either Whitcomb Judson lived in the U.S or Igor Tamm lived in Denmark, but not both.",inventors,Whitcomb Judson lived in the U.S.,Igor Tamm lived in Denmark.,1,0,TF,xor,AB
"Either George Cayley lived in the U.K or Joseph Swan lived in the U.K, but not both.",inventors,George Cayley lived in the U.K.,Joseph Swan lived in the U.K.,1,1,TT,xor,AB
"Either the parrot is a bird or the goat is a mammal, but not both.",animal_class,The parrot is a bird.,The goat is a mammal.,1,1,TT,xor,AB
"Either the frog is a amphibian or the bee is a mollusk, but not both.",animal_class,The bee is a mollusk.,The frog is a amphibian.,0,1,FT,xor,BA
"Either the Spanish word 'vecino' means 'neighbor' or the Spanish word 'guardar' means 'to save', but not both.",sp_en_trans,The Spanish word 'vecino' means 'neighbor'.,The Spanish word 'guardar' means 'to save'.,1,1,TT,xor,AB
"Either Aluminum has the symbol Al or Titanium has the symbol Ti, but not both.",element_symb,Aluminum has the symbol Al.,Titanium has the symbol Ti.,1,1,TT,xor,AB
"Either the city of Changshu is in Germany or the city of Nagoya is in Japan, but not both.",cities,The city of Changshu is in Germany.,The city of Nagoya is in Japan.,0,1,FT,xor,AB
"Either John Wesley Hyatt lived in the U.S or Narinder Singh Kapany lived in India, but not both.",inventors,John Wesley Hyatt lived in the U.S.,Narinder Singh Kapany lived in India.,1,1,TT,xor,AB
"Either the city of Kampala is in Uganda or the city of Wenzhou is in China, but not both.",cities,The city of Kampala is in Uganda.,The city of Wenzhou is in China.,1,1,TT,xor,AB
"Either the Spanish word 'invierno' means 'winter' or the Spanish word 'mar' means 'to save', but not both.",sp_en_trans,The Spanish word 'invierno' means 'winter'.,The Spanish word 'mar' means 'to save'.,1,0,TF,xor,AB
"Either Tellurium has the symbol Zn or Zirconium has the symbol Zr, but not both.",element_symb,Tellurium has the symbol Zn.,Zirconium has the symbol Zr.,0,1,FT,xor,AB
"Either Linus Torvalds lived in Canada/the U.S or Paul Gottlieb Nipkow lived in Germany, but not both.",inventors,Linus Torvalds lived in Canada/the U.S.,Paul Gottlieb Nipkow lived in Germany.,0,1,FT,xor,AB
"Either Iron has the symbol Os or Tantalum has the symbol Ta, but not both.",element_symb,Iron has the symbol Os.,Tantalum has the symbol Ta.,0,1,FT,xor,AB
"Either the Spanish word 'concha' means 'shell' or the Spanish word 'papel' means 'neck', but not both.",sp_en_trans,The Spanish word 'papel' means 'neck'.,The Spanish word 'concha' means 'shell'.,0,1,FT,xor,BA
"Either Cobalt has the symbol Co or Fluorine has the symbol F, but not both.",element_symb,Fluorine has the symbol F.,Cobalt has the symbol Co.,1,1,TT,xor,BA
"Either the camel is a mammal or the moose is a mammal, but not both.",animal_class,The moose is a mammal.,The camel is a mammal.,1,1,TT,xor,BA
"Either the walrus is a cnidarian or the zebra is a mammal, but not both.",animal_class,The walrus is a cnidarian.,The zebra is a mammal.,0,1,FT,xor,AB
"Either the Spanish word 'pagar' means 'to pay' or the Spanish word 'abrigo' means 'coat', but not both.",sp_en_trans,The Spanish word 'abrigo' means 'coat'.,The Spanish word 'pagar' means 'to pay'.,1,1,TT,xor,BA
"Either Rhenium has the symbol Re or Argon has the symbol Pr, but not both.",element_symb,Argon has the symbol Pr.,Rhenium has the symbol Re.,0,1,FT,xor,BA
"Either Holmium has the symbol Ho or Praseodymium has the symbol Pr, but not both.",element_symb,Holmium has the symbol Ho.,Praseodymium has the symbol Pr.,1,1,TT,xor,AB
"Either Radium has the symbol Ra or Tellurium has the symbol Zn, but not both.",element_symb,Tellurium has the symbol Zn.,Radium has the symbol Ra.,0,1,FT,xor,BA
"Either the camel is a crustacean or the moose is a mammal, but not both.",animal_class,The moose is a mammal.,The camel is a crustacean.,1,0,TF,xor,BA
