idx,statement,disjunctA,disjunctB,labelA,labelB,cell,compound_label,consistent
6,"It is the case either that the auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field or that the Earth is flat, not round.","the auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field","the Earth is flat, not round",0,0,FF,0,True
8,"It is the case either that the Earth is flat, not round or that DNA erases genetic information in living organisms.","the Earth is flat, not round",DNA erases genetic information in living organisms,0,0,FF,0,True
9,It is the case either that Chemical reactions involve the conservation of atoms to maintain old substances or that the smallest mammal in the world is the elephant.,Chemical reactions involve the conservation of atoms to maintain old substances,the smallest mammal in the world is the elephant,0,0,FF,0,True
19,It is the case either that the smallest animal in the world is the elephant or that Ice sinks in water due to its higher density.,the smallest animal in the world is the elephant,Ice sinks in water due to its higher density,0,0,FF,0,True
39,It is the case either that Venus has a thick atmosphere or that Electromagnetic induction is the process by which a constant magnetic field dampens an electric current.,Venus has a thick atmosphere,Electromagnetic induction is the process by which a constant magnetic field dampens an electric current,1,0,TF,1,True
49,It is the case either that the Earth is the third planet from the sun or that the Milky Way is a linear galaxy.,the Earth is the third planet from the sun,the Milky Way is a linear galaxy,1,0,TF,1,True
51,It is the case either that the largest volcano in the world is located in Hawaii or that Atoms are the basic breaking points of matter.,the largest volcano in the world is located in Hawaii,Atoms are the basic breaking points of matter,0,0,FF,0,True
62,It is the case either that the human liver helps filter toxins from the body or that Neptune has the calmest winds in the solar system.,the human liver helps filter toxins from the body,Neptune has the calmest winds in the solar system,1,0,TF,1,True
76,It is the case either that the largest flower in the world is the daisy or that the least abundant gas in Earth's atmosphere is nitrogen.,the largest flower in the world is the daisy,the least abundant gas in Earth's atmosphere is nitrogen,0,0,FF,0,True
81,It is the case either that the human brain is uninvolved in the body's functions and emotions or that the Sun is a planet.,the human brain is uninvolved in the body's functions and emotions,the Sun is a planet,0,0,FF,0,True
83,"It is the case either that Electromagnetic waves exclude radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays or that Mercury is the largest planet.","Electromagnetic waves exclude radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays",Mercury is the largest planet,0,0,FF,0,True
