topic,entity_pair_id,conjunctA,conjunctB,ordering,cell,labelA,labelB,and_row_index,or_row_index,and_statement,or_statement,score_and,score_or,delta_OR_AND,template_diff_token_index,template_only_connective_diff
sp_en_trans,"sp_en_trans::[""imaginar"",""pero""]",The Spanish word 'pero' means 'hot'.,The Spanish word 'imaginar' means 'star'.,BA,FF,0,0,0,3948,The Spanish word 'imaginar' means 'star' and the Spanish word 'pero' means 'hot'.,The Spanish word 'imaginar' means 'star' or the Spanish word 'pero' means 'hot'.,3.3585770148467446,-6.471798715301233,-9.830375730147978,6,True
sp_en_trans,"sp_en_trans::[""higo"",""roca""]",The Spanish word 'higo' means 'nothing'.,The Spanish word 'roca' means 'rock'.,BA,FT,0,1,3590,1,The Spanish word 'roca' means 'rock' and the Spanish word 'higo' means 'nothing'.,The Spanish word 'roca' means 'rock' or the Spanish word 'higo' means 'nothing'.,1.1834797997805555,-5.3646207858572925,-6.548100585637848,6,True
element_symb,"element_symb::[""Copper"",""Nitrogen""]",Nitrogen has the symbol N.,Copper has the symbol Cu.,BA,TT,1,1,2,3684,Copper has the symbol Cu and Nitrogen has the symbol N.,Copper has the symbol Cu or Nitrogen has the symbol N.,6.372776838196629,5.464262731243997,-0.9085141069526328,5,True
cities,"cities::[""Indianapolis"",""San Miguel de Tucuman""]",The city of San Miguel de Tucuman is in Finland.,The city of Indianapolis is in Egypt.,BA,FF,0,0,472,3,The city of Indianapolis is in Egypt and the city of San Miguel de Tucuman is in Finland.,The city of Indianapolis is in Egypt or the city of San Miguel de Tucuman is in Finland.,0.5685304815950367,3.739958859917571,3.1714283783225343,7,True
inventors,"inventors::[""Igor Tamm"",""Whitcomb Judson""]",Whitcomb Judson lived in Sweden/the U.S.,Igor Tamm lived in Denmark.,BA,FF,0,0,4,6577,Igor Tamm lived in Denmark and Whitcomb Judson lived in Sweden/the U.S.,Igor Tamm lived in Denmark or Whitcomb Judson lived in Sweden/the U.S.,5.91042172294363,-0.9290036110444806,-6.83942533398811,5,True
cities,"cities::[""Asmara"",""Onitsha""]",The city of Asmara is in Eritrea.,The city of Onitsha is in Vietnam.,AB,TF,1,0,4645,5,The city of Asmara is in Eritrea and the city of Onitsha is in Vietnam.,The city of Asmara is in Eritrea or the city of Onitsha is in Vietnam.,4.581046637700304,1.8631998691733995,-2.717846768526904,7,True
element_symb,"element_symb::[""Cesium"",""Dysprosium""]",Dysprosium has the symbol I.,Cesium has the symbol Ce.,BA,FF,0,0,6,5062,Cesium has the symbol Ce and Dysprosium has the symbol I.,Cesium has the symbol Ce or Dysprosium has the symbol I.,-6.200015926909741,-9.481557815199537,-3.281541888289796,5,True
cities,"cities::[""Hannover"",""Ho Chi Minh City""]",The city of Ho Chi Minh City is in Vietnam.,The city of Hannover is in Germany.,BA,TT,1,1,7,2417,The city of Hannover is in Germany and the city of Ho Chi Minh City is in Vietnam.,The city of Hannover is in Germany or the city of Ho Chi Minh City is in Vietnam.,16.08910623631078,4.637713017665798,-11.45139321864498,7,True
sp_en_trans,"sp_en_trans::[""ciudad"",""y""]",The Spanish word 'y' means 'city'.,The Spanish word 'ciudad' means 'city'.,BA,FT,0,1,1403,8,The Spanish word 'ciudad' means 'city' and the Spanish word 'y' means 'city'.,The Spanish word 'ciudad' means 'city' or the Spanish word 'y' means 'city'.,-5.655732338795174,-6.336066202398699,-0.6803338636035257,6,True
animal_class,"animal_class::[""moose"",""otter""]",The otter is a mammal.,The moose is a reptile.,AB,TF,1,0,9,3751,The otter is a mammal and the moose is a reptile.,The otter is a mammal or the moose is a reptile.,-1.6985561945914345,3.281112701638209,4.979668896229644,5,True
element_symb,"element_symb::[""Gadolinium"",""Rhenium""]",Rhenium has the symbol Re.,Gadolinium has the symbol Xe.,AB,TF,1,0,10,5618,Rhenium has the symbol Re and Gadolinium has the symbol Xe.,Rhenium has the symbol Re or Gadolinium has the symbol Xe.,-9.393318699377708,-5.621743112389858,3.7715755869878507,5,True
inventors,"inventors::[""Charles Francis Richter"",""John Walker""]",John Walker lived in India.,Charles Francis Richter lived in India.,BA,FF,0,0,11,5074,Charles Francis Richter lived in India and John Walker lived in India.,Charles Francis Richter lived in India or John Walker lived in India.,8.398538265599653,6.608066516663996,-1.7904717489356567,6,True
element_symb,"element_symb::[""Lead"",""Lithium""]",Lithium has the symbol Rh.,Lead has the symbol Er.,AB,FF,0,0,4549,12,Lithium has the symbol Rh and Lead has the symbol Er.,Lithium has the symbol Rh or Lead has the symbol Er.,-5.03941179358158,-7.268785353734691,-2.2293735601531104,5,True
element_symb,"element_symb::[""Manganese"",""Terbium""]",Terbium has the symbol Br.,Manganese has the symbol Mn.,BA,FT,0,1,7421,13,Manganese has the symbol Mn and Terbium has the symbol Br.,Manganese has the symbol Mn or Terbium has the symbol Br.,-1.7654905853379803,-6.177939059109615,-4.412448473771635,5,True
